S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
9999971	29	21	21	3	1	11	11	1	10	29	
9999987	13	9	9	2	2	4	4	1	3	13	
9999967	33	26	26	4	2	18	18	0	15	33	
9999985	15	13	13	3	1	9	9	1	10	15	
9999993	7	7	7	2	2	4	4	0	3	7	
9999919	81	78	78	13	7	61	61	7	68	81	
9999952	48	44	44	7	4	35	35	3	34	48	
9999991	9	8	8	2	1	5	5	0	5	9	
9999993	7	5	5	2	2	3	3	2	3	7	
9999966	34	31	31	3	2	27	27	1	22	34	
9999941	59	23	23	5	2	10	10	2	11	59	
9999952	48	40	40	5	3	33	33	2	31	48	
9999971	29	22	22	4	2	14	14	1	13	29	
9999827	173	54	54	5	3	15	15	1	11	173	
9999734	266	155	155	28	6	84	84	0	50	266	
9999986	14	13	13	2	2	9	9	1	7	14	
9999938	62	38	38	3	1	20	20	1	12	62	
9999989	11	7	7	3	2	2	2	1	3	11	
9999980	20	19	19	2	2	14	14	2	14	20	
9999982	18	16	16	4	1	9	9	1	10	18	
9999993	7	5	5	2	0	2	2	0	2	7	
9999995	5	5	5	2	1	3	3	1	2	5	
9999987	13	12	12	2	1	9	9	1	9	13	
9999961	39	33	33	8	3	21	21	2	21	39	
9999946	54	48	48	6	2	36	36	2	35	54	
9999976	24	20	20	5	3	14	14	3	15	24	
9999991	9	8	8	2	2	6	6	1	7	9	
9999992	8	7	7	1	1	4	4	1	3	8	
9999995	5	3	3	2	1	1	1	0	1	5	
9999982	18	15	15	2	2	13	13	1	13	18	
9999979	21	16	16	4	3	8	8	1	9	21	
9999984	16	14	14	2	2	12	12	1	11	16	
9999988	12	11	11	3	1	7	7	1	9	12	
9999987	13	10	10	2	1	3	3	1	2	13	
9999991	9	9	9	3	2	6	6	0	6	9	
9999966	34	31	31	2	2	29	29	2	26	34	
9999920	80	76	76	13	7	59	59	6	63	80	
9999979	21	21	21	3	1	15	15	0	15	21	
9999996	4	3	3	2	0	1	1	0	1	4	
9999993	7	6	6	2	2	4	4	1	2	7	
9999997	3	2	2	1	0	1	1	0	0	3	
9999952	48	25	25	5	1	9	9	1	5	48	
9999932	68	63	63	10	5	48	48	3	49	68	
9999988	12	12	12	1	1	11	11	0	10	12	
9999986	14	11	11	2	2	8	8	1	8	14	
9999988	12	12	12	3	2	8	8	1	9	12	
9999975	25	23	23	4	1	15	15	1	16	25	
9999945	55	52	52	8	3	39	39	2	39	55	
9999990	10	9	9	4	2	5	5	1	6	10	
9999981	19	17	17	5	3	8	8	3	9	19	
9999984	16	14	14	3	3	10	10	1	10	16	
9999974	26	18	18	2	0	12	12	0	11	26	
9999971	29	27	27	7	1	20	20	1	27	29	
9999968	32	28	28	3	2	20	20	2	14	32	
9999962	38	33	33	4	3	27	27	2	27	38	
9999988	12	10	10	3	2	6	6	1	5	12	
9999993	7	6	6	2	1	3	3	1	1	7	
9999976	24	23	23	1	1	18	18	1	16	24	
9999980	20	18	18	4	1	12	12	0	13	20	
9999970	30	21	21	5	1	12	12	1	10	30	
9999990	10	9	9	3	1	5	5	0	5	10	
9999979	21	21	21	5	2	13	13	2	15	21	
9999980	20	19	19	2	2	14	14	2	14	20	
9999988	12	10	10	1	1	7	7	1	6	12	
9999969	31	21	21	5	1	11	11	1	11	31	
9999992	8	7	7	2	1	5	5	1	3	8	
9999992	8	5	5	2	1	3	3	0	3	8	
9999955	45	38	38	4	1	27	27	1	24	45	
9999975	25	24	24	4	2	17	17	2	19	25	
9999884	116	56	56	4	2	25	25	1	20	116	
9999983	17	12	12	2	1	7	7	0	5	17	
9999972	28	24	24	6	2	14	14	2	13	28	
9999976	24	17	17	2	1	10	10	0	9	24	
9999980	20	19	19	2	2	16	16	1	14	20	
9999975	25	18	18	4	3	11	11	0	8	25	
9999985	15	12	12	4	3	6	6	1	8	15	
9999987	13	9	9	2	2	4	4	1	5	13	
9999982	18	16	16	2	1	12	12	1	12	18	
9999981	19	18	18	5	3	11	11	1	12	19	
9999988	12	9	9	2	1	5	5	0	4	12	
9999990	10	9	9	2	1	5	5	1	6	10	
9999979	21	18	18	5	4	13	13	2	13	21	
9999977	23	19	19	2	2	14	14	1	11	23	
9999985	15	12	12	2	1	7	7	1	6	15	
9999995	5	4	4	2	2	2	2	0	2	5	
9999995	5	3	3	1	0	0	0	0	0	5	
9999983	17	16	16	2	1	13	13	1	12	17	
9999979	21	19	19	3	2	14	14	2	11	21	
9999985	15	14	14	3	2	10	10	1	11	15	
9999967	33	33	33	4	3	26	26	2	27	33	
9999970	30	28	28	4	1	21	21	1	17	30	
9999986	14	13	13	3	3	7	7	2	8	14	
9999995	5	5	5	2	1	1	1	0	1	5	
9999982	18	16	16	5	3	10	10	3	14	18	
9999987	13	9	9	2	0	4	4	0	5	13	
9999973	27	26	26	4	3	21	21	2	23	27	
9999964	36	29	29	2	1	23	23	1	20	36	
9999992	8	6	6	2	2	0	0	0	0	8	
9999980	20	15	15	2	2	12	12	0	10	20	
9999984	16	12	12	3	1	6	6	1	8	16	
9999992	8	8	8	2	1	4	4	1	5	8	
9999992	8	5	5	2	2	3	3	0	2	8	
9999981	19	12	12	3	2	6	6	0	7	19	
9999989	11	11	11	2	1	6	6	1	3	11	
9999993	7	6	6	2	2	4	4	1	3	7	
9999987	13	11	11	4	3	7	7	3	8	13	
9999974	26	26	26	5	3	19	19	2	20	26	
9999995	5	5	5	2	1	0	0	0	0	5	
9999982	18	18	18	3	2	14	14	1	14	18	
9999994	6	6	6	2	2	2	2	1	2	6	
9999978	22	16	16	4	3	7	7	0	4	22	
9999983	17	14	14	2	2	8	8	1	6	17	
9999983	17	17	17	1	1	13	13	1	13	17	
9999986	14	11	11	1	1	9	9	1	8	14	
9999986	14	12	12	2	2	7	7	1	7	14	
9999972	28	25	25	3	3	18	18	1	16	28	
9999985	15	9	9	3	1	3	3	0	3	15	
9999960	40	31	31	5	2	23	23	2	16	40	
9999973	27	25	25	6	5	17	17	3	18	27	
9999839	161	112	112	6	2	63	63	0	35	161	
9999997	3	1	1	1	1	0	0	0	0	3	
9999957	43	38	38	6	1	27	27	1	23	43	
9999988	12	8	8	2	1	6	6	1	7	12	
9999972	28	24	24	5	3	14	14	2	12	28	
9999994	6	6	6	1	1	4	4	1	4	6	
9999988	12	10	10	2	2	7	7	1	6	12	
9999967	33	28	28	3	2	23	23	1	23	33	
9999973	27	20	20	2	2	18	18	2	17	27	
9999990	10	10	10	2	1	5	5	1	4	10	
9999967	33	29	29	5	2	23	23	2	24	33	
9999988	12	10	10	2	1	5	5	1	5	12	
9999980	20	13	13	3	2	6	6	1	5	20	
9999992	8	6	6	2	1	3	3	0	3	8	
9999975	25	22	22	5	2	14	14	1	15	25	
9999964	36	34	34	5	3	26	26	3	29	36	
9999992	8	7	7	3	1	4	4	0	4	8	
9999986	14	12	12	3	1	9	9	0	9	14	
9999983	17	15	15	3	2	11	11	2	13	17	
9999984	16	12	12	1	1	8	8	1	7	16	
9999964	36	34	34	4	3	28	28	3	29	36	
9999989	11	11	11	3	2	8	8	1	7	11	
9999991	9	9	9	4	2	4	4	1	6	9	
9999956	44	43	43	6	3	33	33	2	33	44	
9999986	14	12	12	3	3	8	8	2	4	14	
9999948	52	43	43	7	4	30	30	3	27	52	
9999933	67	63	63	7	3	53	53	3	53	67	
9999992	8	6	6	1	1	3	3	1	3	8	
9999988	12	11	11	2	1	7	7	1	4	12	
9999993	7	6	6	1	1	3	3	1	2	7	
9999996	4	4	4	2	1	1	1	1	1	4	
9999980	20	10	10	2	0	4	4	0	4	20	
9999985	15	13	13	3	2	9	9	0	10	15	
9999981	19	17	17	3	2	10	10	1	10	19	
9999988	12	11	11	3	2	7	7	1	7	12	
9999968	32	26	26	6	3	16	16	2	17	32	
9999993	7	7	7	2	2	4	4	2	3	7	
9999963	37	35	35	9	5	25	25	4	27	37	
9999994	6	5	5	2	2	3	3	0	3	6	
9999990	10	9	9	2	1	4	4	1	3	10	
9999996	4	4	4	1	1	2	2	0	1	4	
9999989	11	10	10	2	1	5	5	1	4	11	
9999985	15	13	13	2	1	9	9	1	8	15	
9999975	25	17	17	1	1	12	12	1	10	25	
9999984	16	11	11	1	1	7	7	1	5	16	
9999984	16	13	13	2	2	9	9	1	5	16	
9999989	11	8	8	3	2	3	3	1	1	11	
9999956	44	40	40	6	4	30	30	3	26	44	
9999977	23	18	18	4	2	10	10	1	12	23	
9999986	14	14	14	3	1	9	9	1	9	14	
9999994	6	5	5	2	2	2	2	1	0	6	
9999998	2	2	2	1	1	0	0	0	0	2	
9999972	28	25	25	3	2	16	16	1	11	28	
9999984	16	15	15	4	2	7	7	1	9	16	
9999983	17	15	15	1	1	11	11	0	8	17	
9999980	20	18	18	3	3	12	12	2	12	20	
9999971	29	28	28	5	3	23	23	3	23	29	
9999937	63	59	59	11	6	44	44	5	53	63	
9999977	23	22	22	2	1	17	17	1	16	23	
9999991	9	9	9	2	2	6	6	0	6	9	
9999988	12	11	11	4	3	6	6	2	6	12	
9999958	42	41	41	6	3	34	34	2	35	42	
9999976	24	20	20	1	1	16	16	0	14	24	
9999979	21	20	20	4	1	14	14	1	15	21	
9999990	10	9	9	2	1	7	7	1	5	10	
9999986	14	11	11	5	4	6	6	1	8	14	
9999991	9	8	8	2	2	6	6	1	4	9	
9999994	6	4	4	2	1	0	0	0	1	6	
9999976	24	17	17	2	2	9	9	1	5	24	
9999983	17	14	14	5	4	7	7	2	6	17	
9999997	3	3	3	1	1	1	1	1	0	3	
9999963	37	31	31	7	4	22	22	2	24	37	
9999991	9	7	7	4	1	3	3	0	4	9	
9999996	4	3	3	2	2	0	0	0	0	4	
9999975	25	22	22	3	2	17	17	1	17	25	
9999983	17	16	16	2	1	14	14	0	13	17	
9999989	11	8	8	1	1	5	5	1	3	11	
9999971	29	28	28	5	3	23	23	2	22	29	
9999973	27	21	21	2	1	16	16	0	13	27	
9999984	16	14	14	5	3	9	9	2	11	16	
9999971	29	27	27	4	3	21	21	2	18	29	
9999985	15	13	13	2	2	6	6	2	7	15	
9999993	7	6	6	2	1	4	4	1	3	7	
9999987	13	9	9	2	2	6	6	2	2	13	
9999993	7	6	6	1	1	4	4	1	3	7	
9999996	4	3	3	1	1	2	2	1	1	4	
9999929	71	39	39	3	2	30	30	2	31	71	
9999993	7	6	6	2	2	4	4	1	2	7	
9999962	38	30	30	3	2	22	22	1	23	38	
9999996	4	3	3	1	1	2	2	0	1	4	
9999989	11	4	4	3	2	0	0	0	0	11	
9999989	11	5	5	1	1	4	4	0	2	11	
9999935	65	55	55	9	3	42	42	2	39	65	
9999986	14	14	14	4	2	10	10	1	10	14	
9999988	12	8	8	3	2	3	3	1	1	12	
9999971	29	28	28	6	2	20	20	1	23	29	
9999981	19	16	16	2	2	11	11	1	11	19	
9999973	27	15	15	4	2	8	8	2	9	27	
9999970	30	27	27	6	2	16	16	2	18	30	
9999988	12	10	10	2	2	6	6	0	6	12	
9999986	14	13	13	2	0	10	10	0	7	14	
9999988	12	12	12	2	2	8	8	2	7	12	
9999979	21	16	16	3	3	6	6	1	4	21	
9999991	9	8	8	2	2	5	5	1	5	9	
9999950	50	48	48	9	3	36	36	2	37	50	
9999989	11	9	9	2	2	3	3	2	2	11	
9999987	13	10	10	2	1	7	7	0	7	13	
9999974	26	23	23	3	3	19	19	2	19	26	
9999982	18	17	17	2	2	13	13	2	12	18	
9999979	21	12	12	2	2	6	6	2	4	21	
9999985	15	13	13	3	3	8	8	2	6	15	
9999973	27	26	26	4	2	17	17	1	18	27	
9999980	20	17	17	2	1	13	13	1	8	20	
9999979	21	14	14	4	2	6	6	1	6	21	
9999977	23	22	22	2	2	17	17	2	14	23	
9999994	6	5	5	1	1	2	2	1	2	6	
9999969	31	30	30	7	3	21	21	0	25	31	
9999966	34	32	32	4	3	27	27	2	27	34	
9999985	15	14	14	6	1	7	7	1	9	15	
9999990	10	9	9	2	2	7	7	1	6	10	
9999957	43	26	26	5	0	13	13	0	12	43	
9999897	103	26	26	3	2	4	4	1	1	103	
9999979	21	16	16	1	1	10	10	1	7	21	
9999946	54	27	27	4	2	9	9	1	4	54	
9996187	3813	2523	2523	235	74	1516	1516	29	1040	3813	
9999977	23	19	19	2	1	16	16	1	14	23	
9999971	29	26	26	3	2	23	23	2	23	29	
9999986	14	10	10	2	2	8	8	2	7	14	
9999966	34	29	29	5	3	21	21	1	24	34	
9999990	10	4	4	1	0	1	1	0	0	10	
9999969	31	28	28	3	2	24	24	2	23	31	
9999982	18	16	16	2	2	14	14	1	15	18	
9999969	31	28	28	3	2	24	24	2	23	31	
9999958	42	35	35	6	5	24	24	3	18	42	
9999984	16	12	12	5	4	2	2	0	2	16	
9999943	57	51	51	7	4	36	36	3	34	57	
9999996	4	4	4	2	1	1	1	1	1	4	
9999933	67	65	65	12	5	52	52	5	61	67	
9999962	38	35	35	6	3	28	28	2	29	38	
9999976	24	23	23	7	4	14	14	2	13	24	
9999998	2	1	1	1	0	0	0	0	1	2	
