S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
5000000	0	0	0	0	0	0	0	0	0	0	
4999988	12	9	9	1	1	7	7	1	4	12	
4999998	2	2	2	1	1	0	0	0	0	2	
4999997	3	2	2	0	0	1	1	0	1	3	
4999995	5	5	5	1	1	4	4	1	3	5	
4999990	10	5	5	2	1	0	0	0	1	10	
4999986	14	13	13	2	0	11	11	0	11	14	
4999976	24	19	19	2	0	11	11	0	9	24	
4999986	14	12	12	5	3	6	6	2	7	14	
4999997	3	3	3	1	1	1	1	0	1	3	
4999989	11	8	8	2	2	6	6	1	7	11	
4999994	6	5	5	1	1	4	4	1	1	6	
4999996	4	3	3	1	0	2	2	0	1	4	
4999995	5	4	4	1	1	3	3	0	3	5	
4999998	2	1	1	0	0	1	1	0	0	2	
4999979	21	16	16	2	1	11	11	0	7	21	
4999996	4	2	2	1	1	1	1	1	1	4	
4999999	1	1	1	1	0	0	0	0	0	1	
4999876	124	95	95	13	5	57	57	3	42	124	
4999992	8	8	8	2	2	3	3	1	4	8	
4999987	13	12	12	1	1	8	8	0	7	13	
4999997	3	2	2	1	1	1	1	0	1	3	
4999991	9	6	6	1	1	4	4	1	3	9	
4999995	5	5	5	1	1	3	3	1	2	5	
4999998	2	1	1	1	1	0	0	1	0	2	
4999977	23	22	22	3	2	18	18	2	18	23	
4999998	2	1	1	0	0	1	1	0	0	2	
4999996	4	3	3	1	1	1	1	0	0	4	
4999991	9	7	7	1	1	4	4	1	4	9	
4999989	11	9	9	2	0	5	5	0	7	11	
4999998	2	1	1	0	0	1	1	0	0	2	
4999977	23	22	22	3	2	18	18	2	18	23	
4999994	6	5	5	0	0	2	2	0	2	6	
4999990	10	9	9	1	1	8	8	0	8	10	
4999998	2	2	2	1	0	0	0	0	0	2	
4999987	13	12	12	1	1	8	8	0	7	13	
4999992	8	6	6	1	1	5	5	1	3	8	
4999998	2	2	2	1	1	0	0	0	0	2	
4999996	4	4	4	1	0	2	2	0	1	4	
4999994	6	4	4	1	1	3	3	1	3	6	
4999999	1	1	1	1	1	0	0	0	0	1	
4999993	7	7	7	1	1	6	6	0	5	7	
4999977	23	23	23	4	2	19	19	2	20	23	
4999989	11	9	9	4	2	3	3	2	4	11	
4999994	6	6	6	1	1	4	4	1	4	6	
4999997	3	2	2	1	0	1	1	0	1	3	
4999990	10	8	8	1	0	4	4	0	3	10	
4999997	3	3	3	1	1	2	2	1	1	3	
4999981	19	14	14	2	2	11	11	1	11	19	
4999997	3	2	2	0	0	1	1	0	1	3	
4999992	8	7	7	2	1	4	4	0	4	8	
4999971	29	25	25	2	1	17	17	1	13	29	
4999996	4	4	4	2	1	2	2	0	3	4	
5000000	0	0	0	0	0	0	0	0	0	0	
4999993	7	5	5	1	1	3	3	1	3	7	
4999991	9	8	8	3	1	4	4	1	6	9	
4999998	2	1	1	1	1	0	0	0	0	2	
4999997	3	3	3	1	1	1	1	1	1	3	
4999998	2	1	1	1	1	0	0	0	0	2	
4999922	78	29	29	1	1	13	13	0	5	78	
4999997	3	1	1	0	0	1	1	0	1	3	
4999991	9	7	7	2	1	5	5	1	4	9	
4999999	1	1	1	1	1	0	0	0	0	1	
4999985	15	12	12	2	2	9	9	1	10	15	
4999984	16	16	16	2	1	12	12	1	10	16	
4999998	2	1	1	1	1	0	0	0	0	2	
4999999	1	1	1	1	1	0	0	0	0	1	
4999994	6	4	4	3	1	1	1	0	1	6	
4999988	12	10	10	4	2	6	6	1	6	12	
4999997	3	2	2	0	0	1	1	0	1	3	
4999999	1	1	1	0	0	0	0	0	0	1	
4999999	1	1	1	1	0	0	0	0	0	1	
4999961	39	30	30	1	0	22	22	0	17	39	
4999931	69	60	60	6	2	47	47	1	41	69	
4999995	5	5	5	1	1	4	4	1	3	5	
4999998	2	1	1	0	0	1	1	0	1	2	
4999986	14	11	11	0	0	10	10	0	8	14	
4999990	10	9	9	1	0	8	8	0	8	10	
4999953	47	34	34	3	1	16	16	1	14	47	
5000000	0	0	0	0	0	0	0	0	0	0	
4999994	6	6	6	0	0	6	6	0	5	6	
4999998	2	1	1	1	1	0	0	1	0	2	
4999992	8	5	5	0	0	1	1	0	0	8	
4999992	8	7	7	0	0	6	6	0	6	8	
4999998	2	1	1	1	0	0	0	0	0	2	
4999998	2	2	2	1	0	1	1	0	1	2	
4999999	1	1	1	0	0	0	0	0	0	1	
4999998	2	2	2	0	0	2	2	0	0	2	
4999994	6	4	4	2	1	0	0	1	1	6	
4999994	6	5	5	1	0	4	4	0	3	6	
4999996	4	3	3	1	1	2	2	0	2	4	
4999992	8	7	7	1	0	4	4	0	2	8	
4999985	15	14	14	3	0	11	11	0	9	15	
4999998	2	1	1	0	0	1	1	0	0	2	
4999992	8	7	7	1	0	5	5	0	2	8	
4999996	4	3	3	1	1	0	0	0	0	4	
5000000	0	0	0	0	0	0	0	0	0	0	
4999996	4	4	4	1	0	2	2	0	2	4	
4999997	3	3	3	0	0	1	1	0	1	3	
4999983	17	11	11	0	0	3	3	0	1	17	
4999997	3	2	2	1	0	0	0	0	0	3	
4999987	13	10	10	1	1	8	8	0	5	13	
4999991	9	8	8	1	1	6	6	1	4	9	
4999992	8	3	3	0	0	2	2	0	1	8	
4999991	9	7	7	2	1	5	5	1	4	9	
4999994	6	6	6	3	2	2	2	1	3	6	
4999991	9	8	8	2	1	6	6	1	5	9	
4999993	7	7	7	1	1	5	5	0	3	7	
4999989	11	6	6	2	1	2	2	0	1	11	
4999995	5	5	5	1	1	4	4	1	3	5	
4999992	8	8	8	2	1	6	6	0	6	8	
4999990	10	9	9	1	1	7	7	1	5	10	
4999973	27	24	24	4	1	18	18	1	16	27	
4999997	3	2	2	1	1	0	0	0	0	3	
4999931	69	19	19	1	1	7	7	0	1	69	
4999995	5	4	4	1	1	1	1	0	1	5	
4999995	5	5	5	0	0	2	2	0	2	5	
4999990	10	4	4	1	1	2	2	1	1	10	
4999993	7	6	6	1	0	2	2	0	2	7	
5000000	0	0	0	0	0	0	0	0	0	0	
4999990	10	5	5	0	0	2	2	0	2	10	
4999992	8	6	6	1	1	4	4	1	3	8	
4999997	3	3	3	0	0	2	2	0	2	3	
4999991	9	8	8	1	1	5	5	1	5	9	
4999994	6	4	4	1	0	1	1	0	1	6	
4999994	6	4	4	1	0	3	3	0	4	6	
4999676	324	179	179	22	4	79	79	1	58	324	
4999994	6	4	4	2	0	0	0	0	1	6	
4999990	10	9	9	1	0	7	7	0	8	10	
4999996	4	4	4	1	1	3	3	1	3	4	
4999989	11	11	11	0	0	10	10	0	8	11	
4999983	17	15	15	1	1	11	11	1	9	17	
4999989	11	8	8	2	2	6	6	1	7	11	
4999985	15	14	14	3	0	11	11	0	8	15	
4999984	16	14	14	1	0	12	12	0	12	16	
4999988	12	9	9	0	0	8	8	0	6	12	
5000000	0	0	0	0	0	0	0	0	0	0	
4999997	3	3	3	1	0	2	2	0	1	3	
4999991	9	6	6	3	2	3	3	2	4	9	
4999983	17	16	16	5	2	11	11	2	10	17	
4999977	23	17	17	2	1	10	10	0	9	23	
4999976	24	21	21	3	0	14	14	0	10	24	
4999966	34	30	30	2	1	25	25	0	22	34	
4999982	18	14	14	2	1	10	10	1	5	18	
4999999	1	1	1	1	0	0	0	0	0	1	
4999988	12	12	12	2	1	10	10	0	11	12	
4999997	3	3	3	0	0	2	2	0	2	3	
4999989	11	9	9	1	0	8	8	0	8	11	
4996435	3565	2071	2071	205	63	1069	1069	18	655	3565	
4999990	10	7	7	1	1	5	5	1	5	10	
4999985	15	12	12	1	0	10	10	0	8	15	
