S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
4999966	34	32	32	5	2	26	26	1	28	34	
4999962	38	28	28	3	2	18	18	2	15	38	
4997155	2845	1652	1652	161	48	867	867	21	518	2845	
4999907	93	59	59	9	3	32	32	2	30	93	
4999983	17	15	15	5	2	10	10	1	9	17	
4999585	415	275	275	22	8	171	171	4	131	415	
4999792	208	140	140	11	4	83	83	2	63	208	
4999567	433	244	244	22	11	156	156	5	123	433	
4999588	412	269	269	23	4	168	168	3	117	412	
4999984	16	13	13	2	1	7	7	1	8	16	
4999919	81	71	71	5	4	57	57	3	51	81	
4998429	1571	868	868	82	28	470	470	12	282	1571	
4999818	182	129	129	12	5	84	84	4	57	182	
4999956	44	34	34	5	2	20	20	1	17	44	
4999977	23	18	18	2	2	15	15	2	15	23	
4984115	15885	9820	9820	1005	329	5561	5561	122	3681	15885	
4998638	1362	744	744	71	17	380	380	7	267	1362	
4999926	74	54	54	7	2	35	35	1	36	74	
4958269	41731	27104	27104	2862	903	15886	15886	288	10725	41731	
4968255	31745	20079	20079	2092	655	11478	11478	225	7776	31745	
4999893	107	73	73	8	4	45	45	3	37	107	
4991323	8677	5170	5170	500	168	2863	2863	66	1849	8677	
4999949	51	30	30	5	4	12	12	2	8	51	
4999908	92	68	68	6	2	50	50	1	33	92	
4999949	51	30	30	5	4	12	12	2	8	51	
4999543	457	293	293	26	8	175	175	5	127	457	
4999970	30	20	20	4	2	12	12	2	11	30	
4999746	254	187	187	17	5	125	125	3	82	254	
4999841	159	139	139	23	9	108	108	4	104	159	
4999924	76	64	64	11	6	48	48	3	51	76	
4999364	636	367	367	30	13	191	191	6	119	636	
4998077	1923	1141	1141	113	31	563	563	11	327	1923	
4999987	13	11	11	2	2	8	8	2	7	13	
4999983	17	12	12	1	1	9	9	1	9	17	
4999869	131	107	107	10	5	78	78	4	69	131	
4999950	50	43	43	6	4	32	32	3	31	50	
4999989	11	11	11	2	2	8	8	2	7	11	
4999913	87	47	47	5	2	33	33	2	26	87	
4997087	2913	1785	1785	176	54	958	958	13	642	2913	
4999952	48	36	36	4	2	25	25	2	20	48	
4999927	73	56	56	5	3	46	46	3	46	73	
4997108	2892	1646	1646	154	49	864	864	20	516	2892	
4999378	622	429	429	42	17	261	261	7	185	622	
4999961	39	28	28	5	3	19	19	1	16	39	
4999978	22	16	16	2	2	9	9	2	10	22	
4999640	360	179	179	14	4	86	86	1	42	360	
4994805	5195	3408	3408	336	106	2063	2063	50	1434	5195	
4999932	68	62	62	12	5	45	45	3	49	68	
4999814	186	118	118	11	3	67	67	3	39	186	
4999962	38	27	27	5	2	14	14	2	12	38	
4999814	186	122	122	11	3	68	68	2	51	186	
4999412	588	330	330	33	16	191	191	6	130	588	
4999798	202	143	143	18	7	88	88	5	87	202	
4999940	60	44	44	8	4	28	28	4	24	60	
4999908	92	78	78	12	5	52	52	4	54	92	
4999697	303	198	198	25	7	118	118	3	88	303	
4999888	112	95	95	14	3	69	69	2	62	112	
4999803	197	128	128	18	6	78	78	3	67	197	
4999989	11	11	11	2	2	8	8	2	7	11	
4999867	133	74	74	7	4	44	44	2	36	133	
4999984	16	14	14	3	2	7	7	2	6	16	
4999929	71	58	58	7	2	27	27	2	24	71	
4999963	37	33	33	5	2	25	25	1	24	37	
4999958	42	35	35	6	4	25	25	3	23	42	
4999883	117	99	99	15	3	73	73	3	68	117	
4999988	12	11	11	4	2	7	7	1	8	12	
4999850	150	100	100	11	4	67	67	4	50	150	
4999296	704	343	343	31	8	156	156	4	83	704	
4999916	84	52	52	5	3	36	36	2	26	84	
4999891	109	79	79	12	4	51	51	2	46	109	
4999177	823	555	555	45	13	322	322	5	210	823	
4999984	16	12	12	1	1	9	9	1	7	16	
4999912	88	68	68	11	6	53	53	3	52	88	
4992913	7087	4231	4231	402	113	2294	2294	35	1455	7087	
4953329	46671	29961	29961	3077	989	17308	17308	343	11641	46671	
4999913	87	68	68	8	3	48	48	2	41	87	
4999960	40	39	39	8	4	27	27	3	32	40	
4999982	18	16	16	3	3	13	13	2	11	18	
4999726	274	177	177	13	5	99	99	3	69	274	
4999724	276	126	126	10	4	68	68	3	44	276	
4999758	242	188	188	26	8	118	118	4	95	242	
4999507	493	305	305	37	17	183	183	7	121	493	
4999913	87	57	57	5	2	40	40	2	30	87	
4999930	70	57	57	10	4	37	37	4	31	70	
4999926	74	61	61	8	2	43	43	2	39	74	
4999978	22	20	20	4	2	15	15	1	16	22	
4999831	169	129	129	18	6	75	75	3	50	169	
4999099	901	552	552	62	21	295	295	8	170	901	
4999923	77	62	62	8	2	36	36	2	27	77	
