S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
4999980	20	19	19	5	3	12	12	2	12	20	
4999975	25	21	21	5	3	14	14	2	15	25	
4999976	24	22	22	2	2	19	19	1	15	24	
4999969	31	24	24	3	1	17	17	1	13	31	
4999993	7	5	5	1	1	3	3	1	2	7	
4999990	10	9	9	1	1	6	6	1	6	10	
4999996	4	3	3	1	1	2	2	1	1	4	
4999994	6	4	4	2	2	1	1	1	2	6	
4999992	8	7	7	1	1	6	6	1	5	8	
4999993	7	5	5	1	1	2	2	1	2	7	
4999997	3	2	2	1	1	1	1	1	1	3	
4999994	6	6	6	1	1	4	4	1	4	6	
4999998	2	2	2	1	1	1	1	1	0	2	
4999990	10	4	4	1	1	2	2	1	1	10	
4999991	9	6	6	1	1	5	5	1	3	9	
4999983	17	16	16	4	3	11	11	3	10	17	
4999989	11	10	10	1	1	9	9	1	9	11	
4999994	6	4	4	1	1	3	3	1	3	6	
4999992	8	7	7	1	1	6	6	1	5	8	
4999977	23	23	23	4	2	19	19	2	20	23	
4999976	24	20	20	3	2	15	15	1	11	24	
4999990	10	9	9	1	1	7	7	1	5	10	
4999985	15	14	14	3	1	11	11	0	11	15	
4999998	2	2	2	1	1	1	1	1	0	2	
4999996	4	3	3	1	1	2	2	1	2	4	
4999993	7	6	6	1	1	5	5	1	6	7	
4999984	16	15	15	2	2	13	13	1	10	16	
4999980	20	17	17	3	2	14	14	1	14	20	
4999981	19	13	13	2	2	8	8	1	4	19	
4999987	13	11	11	1	1	7	7	1	7	13	
4999989	11	10	10	1	1	9	9	1	9	11	
4999995	5	4	4	1	1	3	3	1	3	5	
4999984	16	13	13	4	3	7	7	2	8	16	
4999988	12	12	12	3	2	8	8	2	9	12	
4999988	12	7	7	1	1	6	6	1	5	12	
4999988	12	10	10	2	2	7	7	1	5	12	
4999992	8	7	7	1	1	4	4	1	2	8	
4999985	15	15	15	2	2	13	13	1	10	15	
4999894	106	81	81	6	1	50	50	1	37	106	
4999978	22	11	11	2	1	6	6	1	7	22	
4999996	4	3	3	1	1	2	2	1	2	4	
4999998	2	1	1	1	1	0	0	1	0	2	
4999984	16	15	15	1	1	13	13	1	12	16	
4999993	7	6	6	1	1	5	5	1	6	7	
4999995	5	5	5	1	1	4	4	1	3	5	
4999980	20	15	15	2	2	11	11	1	10	20	
4999982	18	12	12	3	2	9	9	1	7	18	
4999984	16	15	15	1	1	13	13	1	12	16	
