S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
4999969	31	29	29	3	2	23	23	1	22	31	
4999966	34	31	31	2	2	28	28	2	26	34	
4999953	47	37	37	2	1	29	29	1	25	47	
4999753	247	104	104	11	7	57	57	6	47	247	
4999939	61	53	53	10	5	33	33	3	37	61	
4999929	71	54	54	5	4	39	39	4	29	71	
4999946	54	39	39	5	2	21	21	2	19	54	
4999856	144	98	98	10	5	62	62	2	38	144	
4999900	100	80	80	12	5	59	59	4	45	100	
4999989	11	8	8	2	1	6	6	1	6	11	
4999989	11	8	8	2	1	6	6	1	6	11	
4999970	30	29	29	2	2	24	24	2	24	30	
4999830	170	124	124	16	6	86	86	3	66	170	
4999163	837	461	461	43	11	244	244	5	178	837	
4999951	49	39	39	5	1	27	27	1	25	49	
4999986	14	13	13	4	2	9	9	1	11	14	
4999929	71	58	58	7	2	27	27	2	24	71	
4999941	59	54	54	8	4	45	45	3	45	59	
4999731	269	142	142	15	4	79	79	1	58	269	
4999987	13	9	9	3	1	5	5	1	4	13	
4999988	12	12	12	4	2	7	7	1	8	12	
4999734	266	174	174	19	7	93	93	5	64	266	
4999956	44	42	42	8	4	33	33	2	36	44	
4999930	70	54	54	7	6	36	36	4	28	70	
4999955	45	28	28	3	1	22	22	1	21	45	
4999976	24	18	18	3	1	8	8	1	6	24	
4999968	32	31	31	2	1	22	22	1	18	32	
4999968	32	31	31	2	1	22	22	1	18	32	
4999513	487	277	277	24	7	158	158	5	119	487	
4999952	48	42	42	9	5	33	33	3	38	48	
4999960	40	28	28	4	2	19	19	1	14	40	
4999904	96	71	71	13	5	46	46	3	47	96	
4999594	406	251	251	26	13	148	148	7	105	406	
4999961	39	27	27	3	2	16	16	1	12	39	
4999961	39	25	25	5	2	16	16	1	12	39	
4999810	190	126	126	16	6	76	76	4	58	190	
4999910	90	68	68	16	6	44	44	3	41	90	
4999974	26	24	24	6	5	16	16	4	16	26	
4999971	29	22	22	3	1	15	15	1	15	29	
4999961	39	27	27	3	2	16	16	1	12	39	
4999888	112	79	79	15	5	50	50	3	51	112	
4999941	59	38	38	5	1	25	25	1	19	59	
4999857	143	110	110	15	7	77	77	5	77	143	
4999951	49	39	39	8	2	26	26	1	24	49	
4999954	46	37	37	3	2	32	32	1	25	46	
4998776	1224	716	716	61	24	375	375	8	201	1224	
4999974	26	25	25	6	5	16	16	4	17	26	
4999877	123	70	70	9	3	41	41	1	28	123	
4999930	70	48	48	9	5	31	31	3	26	70	
4999855	145	76	76	4	2	39	39	2	33	145	
4999966	34	27	27	3	2	17	17	1	14	34	
4999975	25	24	24	2	1	17	17	1	15	25	
4999857	143	110	110	15	7	77	77	5	77	143	
4999962	38	32	32	3	1	26	26	1	20	38	
4999880	120	96	96	13	6	71	71	4	68	120	
4998418	1582	904	904	75	30	485	485	10	264	1582	
4999955	45	37	37	3	1	29	29	1	21	45	
4999896	104	55	55	6	3	31	31	3	26	104	
4999995	5	3	3	1	1	2	2	1	2	5	
4999870	130	102	102	14	7	76	76	4	73	130	
4999982	18	14	14	3	1	9	9	1	9	18	
4999990	10	9	9	2	2	7	7	1	7	10	
4998692	1308	790	790	74	20	449	449	10	308	1308	
4997685	2315	1438	1438	135	48	790	790	13	531	2315	
4999969	31	27	27	5	3	17	17	2	14	31	
4999965	35	23	23	3	1	13	13	1	13	35	
4999859	141	99	99	9	5	53	53	2	32	141	
4999914	86	63	63	13	5	41	41	3	46	86	
4999974	26	25	25	6	5	16	16	4	17	26	
4999985	15	14	14	4	2	10	10	1	12	15	
4999948	52	40	40	3	1	31	31	1	27	52	
4999964	36	31	31	3	2	24	24	2	23	36	
4999970	30	25	25	2	1	14	14	1	11	30	
4999831	169	116	116	11	5	72	72	2	45	169	
4999913	87	45	45	10	2	20	20	1	18	87	
4999890	110	80	80	9	3	52	52	2	44	110	
4999931	69	52	52	4	3	35	35	1	29	69	
4999988	12	12	12	4	2	7	7	1	8	12	
4999986	14	10	10	1	1	7	7	1	6	14	
4998856	1144	655	655	51	15	320	320	2	165	1144	
4999932	68	59	59	12	5	43	43	3	49	68	
4999754	246	106	106	8	2	45	45	2	21	246	
4999974	26	25	25	6	5	18	18	4	19	26	
4999992	8	7	7	2	1	5	5	1	5	8	
4999789	211	137	137	16	5	72	72	4	53	211	
4999965	35	31	31	5	2	25	25	1	24	35	
4999814	186	75	75	4	1	39	39	1	26	186	
4999909	91	60	60	8	3	36	36	1	26	91	
4999765	235	160	160	21	12	93	93	6	69	235	
4999972	28	26	26	6	5	19	19	4	19	28	
4999601	399	294	294	36	15	185	185	6	137	399	
4999765	235	160	160	21	12	93	93	6	69	235	
4998418	1582	904	904	75	30	485	485	10	264	1582	
4999939	61	56	56	8	5	45	45	3	47	61	
4999053	947	477	477	44	10	214	214	4	113	947	
4999828	172	119	119	8	3	86	86	2	72	172	
4999607	393	275	275	32	14	175	175	5	128	393	
4998219	1781	1015	1015	103	25	538	538	7	345	1781	
4999937	63	46	46	4	1	33	33	1	26	63	
4999880	120	96	96	13	6	71	71	4	68	120	
4996328	3672	2037	2037	153	35	982	982	7	560	3672	
4999927	73	56	56	5	3	46	46	3	46	73	
4999859	141	85	85	8	3	51	51	2	39	141	
4999966	34	31	31	4	2	25	25	1	24	34	
4999920	80	57	57	10	1	32	32	1	22	80	
4999952	48	39	39	4	2	26	26	1	20	48	
4999798	202	84	84	5	4	50	50	2	37	202	
4999271	729	426	426	45	20	227	227	8	129	729	
4999836	164	65	65	6	2	25	25	2	12	164	
4999846	154	112	112	10	3	62	62	1	44	154	
4999968	32	22	22	3	1	15	15	1	13	32	
4999310	690	380	380	36	12	184	184	5	106	690	
4999229	771	356	356	22	3	153	153	2	81	771	
4999660	340	223	223	20	6	138	138	5	102	340	
4999888	112	77	77	9	4	45	45	2	37	112	
4999880	120	96	96	13	6	71	71	4	68	120	
4999930	70	54	54	7	6	36	36	4	28	70	
4999880	120	96	96	13	6	71	71	4	68	120	
4999953	47	36	36	4	2	21	21	2	17	47	
4999918	82	49	49	4	1	30	30	1	25	82	
4999935	65	58	58	12	4	42	42	3	47	65	
4999952	48	39	39	4	2	26	26	1	20	48	
4995584	4416	2619	2619	249	70	1418	1418	18	929	4416	
4999989	11	11	11	2	2	8	8	2	7	11	
4999987	13	9	9	3	1	5	5	1	4	13	
4999955	45	36	36	6	4	28	28	3	25	45	
4999961	39	33	33	5	3	26	26	2	24	39	
4999964	36	32	32	2	1	25	25	1	22	36	
4999908	92	68	68	11	5	49	49	3	39	92	
4999978	22	16	16	2	2	9	9	2	10	22	
4999844	156	95	95	11	5	61	61	2	40	156	
4999952	48	32	32	4	2	20	20	1	15	48	
4999889	111	98	98	11	2	79	79	2	79	111	
4999923	77	62	62	8	2	36	36	2	27	77	
4999960	40	38	38	4	2	31	31	1	32	40	
4999966	34	30	30	7	4	21	21	3	25	34	
4999989	11	8	8	2	1	6	6	1	6	11	
4998654	1346	817	817	78	18	423	423	6	243	1346	
4999927	73	56	56	5	3	46	46	3	46	73	
4999962	38	33	33	4	3	21	21	1	17	38	
4999971	29	25	25	4	2	21	21	1	20	29	
4999985	15	14	14	4	2	8	8	1	9	15	
4999891	109	79	79	12	4	51	51	2	46	109	
4999889	111	98	98	11	2	79	79	2	79	111	
4999958	42	25	25	3	2	20	20	1	16	42	
4995584	4416	2619	2619	249	70	1418	1418	18	929	4416	
