S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
9999978	22	19	19	3	3	15	15	1	12	22	
9999978	22	17	17	5	1	6	6	1	6	22	
9999981	19	12	12	1	1	10	10	0	8	19	
9999988	12	9	9	2	2	5	5	1	5	12	
9999983	17	16	16	3	2	10	10	1	10	17	
9999989	11	7	7	2	2	4	4	1	2	11	
9999963	37	36	36	4	2	32	32	2	31	37	
9999524	476	232	232	18	4	90	90	0	30	476	
9999960	40	27	27	3	2	19	19	1	16	40	
9999943	57	51	51	7	3	39	39	2	41	57	
9999985	15	11	11	5	3	6	6	1	6	15	
9999964	36	35	35	5	2	28	28	2	31	36	
9999995	5	3	3	1	1	2	2	1	0	5	
9999989	11	9	9	2	1	1	1	1	1	11	
9999983	17	16	16	1	1	12	12	1	9	17	
9999991	9	7	7	2	1	4	4	0	4	9	
9999959	41	39	39	8	2	27	27	2	29	41	
9999982	18	17	17	2	2	10	10	1	10	18	
9999982	18	17	17	3	1	9	9	0	9	18	
9999965	35	30	30	3	1	22	22	1	19	35	
9999984	16	11	11	3	3	6	6	1	5	16	
9999968	32	32	32	2	1	27	27	1	25	32	
9999983	17	11	11	3	2	8	8	2	8	17	
9999991	9	8	8	3	1	4	4	0	5	9	
9999987	13	12	12	4	3	7	7	3	9	13	
9999981	19	15	15	3	3	10	10	1	9	19	
9999847	153	102	102	10	4	68	68	2	46	153	
9999961	39	32	32	3	2	27	27	2	21	39	
9999994	6	4	4	2	2	1	1	0	0	6	
9999992	8	8	8	2	1	4	4	1	3	8	
9999991	9	7	7	2	1	4	4	1	4	9	
9999988	12	7	7	1	1	5	5	1	4	12	
9999987	13	11	11	2	1	7	7	1	6	13	
9999986	14	13	13	3	2	9	9	0	9	14	
9999995	5	2	2	1	1	0	0	1	0	5	
9999937	63	60	60	12	6	48	48	6	56	63	
9999973	27	19	19	3	1	11	11	1	7	27	
9999974	26	20	20	3	1	15	15	1	16	26	
9999966	34	30	30	2	2	26	26	2	26	34	
9999987	13	10	10	2	2	3	3	2	1	13	
9999989	11	11	11	4	3	5	5	1	5	11	
9999964	36	28	28	7	5	17	17	3	14	36	
9999985	15	13	13	2	1	9	9	0	5	15	
9999981	19	16	16	4	1	10	10	1	12	19	
9999980	20	20	20	3	1	16	16	1	16	20	
9999983	17	14	14	4	4	10	10	2	10	17	
9999984	16	15	15	2	1	13	13	0	12	16	
9999989	11	10	10	2	2	8	8	1	8	11	
9999990	10	9	9	2	2	6	6	2	4	10	
9999997	3	3	3	1	1	1	1	1	0	3	
9999974	26	23	23	6	4	16	16	1	19	26	
9999996	4	3	3	2	1	1	1	0	2	4	
9999987	13	11	11	2	2	9	9	1	7	13	
9999984	16	15	15	3	3	7	7	2	6	16	
9999974	26	18	18	1	1	12	12	0	9	26	
9999995	5	2	2	1	1	0	0	0	0	5	
9999977	23	23	23	4	2	19	19	2	20	23	
9999918	82	54	54	6	1	37	37	1	24	82	
9999985	15	12	12	2	2	6	6	2	7	15	
9999990	10	10	10	4	3	6	6	1	6	10	
9999962	38	34	34	6	2	24	24	2	26	38	
9999982	18	15	15	2	2	12	12	1	11	18	
9999973	27	24	24	3	1	19	19	0	19	27	
9999964	36	31	31	7	3	24	24	2	26	36	
9999986	14	10	10	2	2	5	5	2	4	14	
9999822	178	86	86	7	3	44	44	3	33	178	
9999821	179	134	134	17	4	81	81	3	58	179	
9999991	9	6	6	1	1	3	3	1	0	9	
9999997	3	2	2	1	1	0	0	0	0	3	
9999988	12	8	8	2	2	4	4	1	3	12	
9999975	25	20	20	6	4	11	11	2	11	25	
9999973	27	22	22	4	4	16	16	2	18	27	
9999982	18	18	18	1	1	14	14	1	13	18	
9999987	13	10	10	2	2	8	8	1	5	13	
9999994	6	6	6	2	2	3	3	1	3	6	
9999981	19	18	18	5	2	12	12	2	15	19	
9999975	25	22	22	3	3	17	17	2	16	25	
9999983	17	17	17	2	2	14	14	0	13	17	
9999956	44	41	41	4	3	31	31	2	27	44	
9999976	24	22	22	2	2	17	17	1	16	24	
9999975	25	23	23	3	2	18	18	1	15	25	
9999990	10	10	10	3	2	6	6	2	6	10	
9999977	23	23	23	4	2	19	19	2	20	23	
9999996	4	4	4	1	1	1	1	1	1	4	
9999971	29	22	22	3	2	15	15	2	10	29	
9999988	12	10	10	3	2	5	5	1	5	12	
9999969	31	31	31	4	3	25	25	2	26	31	
9999984	16	10	10	4	3	5	5	0	6	16	
9999992	8	7	7	2	2	4	4	1	3	8	
9999970	30	23	23	2	1	17	17	1	13	30	
9999962	38	37	37	1	1	34	34	1	30	38	
9999991	9	9	9	1	1	7	7	1	4	9	
9999978	22	15	15	5	3	7	7	0	6	22	
9999977	23	17	17	4	3	12	12	1	12	23	
9999970	30	25	25	3	2	20	20	1	15	30	
9999882	118	88	88	15	5	63	63	5	68	118	
9999985	15	12	12	2	1	9	9	1	8	15	
9999961	39	33	33	4	3	24	24	3	20	39	
9999996	4	2	2	1	0	0	0	0	0	4	
9999972	28	25	25	4	3	19	19	3	18	28	
9999978	22	17	17	3	2	11	11	0	11	22	
9999956	44	41	41	5	4	34	34	3	33	44	
9999990	10	5	5	1	1	2	2	0	1	10	
9999914	86	46	46	3	1	19	19	0	11	86	
9999963	37	33	33	5	3	25	25	3	28	37	
9999970	30	23	23	4	2	16	16	1	13	30	
9999986	14	13	13	1	1	10	10	1	9	14	
9999978	22	17	17	5	4	6	6	1	6	22	
9999979	21	15	15	4	3	8	8	2	6	21	
9999976	24	20	20	5	4	13	13	3	10	24	
9999973	27	23	23	5	3	14	14	1	15	27	
9999976	24	16	16	5	2	8	8	2	8	24	
9999944	56	50	50	8	4	39	39	3	37	56	
9999969	31	28	28	7	3	17	17	3	19	31	
9999960	40	29	29	3	3	17	17	2	11	40	
9999984	16	12	12	4	3	6	6	2	5	16	
9999937	63	60	60	13	6	45	45	6	56	63	
9999991	9	9	9	2	1	5	5	1	4	9	
9999976	24	22	22	6	4	14	14	2	14	24	
9999989	11	9	9	2	1	6	6	0	5	11	
9999986	14	14	14	2	1	10	10	0	7	14	
9999993	7	5	5	2	1	3	3	0	4	7	
9999968	32	31	31	4	3	23	23	3	24	32	
9999941	59	58	58	12	6	45	45	6	53	59	
9999952	48	45	45	6	4	37	37	4	36	48	
9999930	70	64	64	13	6	49	49	6	58	70	
9999994	6	5	5	2	1	0	0	0	1	6	
9999984	16	14	14	6	4	5	5	2	7	16	
9999962	38	29	29	6	2	15	15	1	15	38	
9999977	23	16	16	3	1	11	11	1	10	23	
9999982	18	17	17	1	1	13	13	0	11	18	
9999987	13	10	10	1	0	8	8	0	7	13	
9999960	40	36	36	6	3	26	26	2	27	40	
9999971	29	13	13	3	1	5	5	1	5	29	
9999989	11	9	9	1	1	6	6	1	4	11	
9999973	27	22	22	4	2	15	15	1	10	27	
9999984	16	15	15	2	1	10	10	1	11	16	
9999980	20	18	18	4	2	13	13	2	13	20	
9999976	24	22	22	5	1	13	13	1	14	24	
9999974	26	24	24	3	2	19	19	1	19	26	
9999990	10	6	6	3	1	2	2	1	2	10	
9999986	14	12	12	2	2	10	10	0	9	14	
9999985	15	13	13	2	2	10	10	1	9	15	
9999930	70	67	67	13	6	49	49	5	57	70	
9999990	10	8	8	3	1	1	1	0	1	10	
9999984	16	13	13	2	0	6	6	0	6	16	
9999982	18	16	16	3	1	11	11	0	12	18	
9999977	23	21	21	4	2	16	16	1	19	23	
9999975	25	18	18	5	3	9	9	3	9	25	
9999983	17	16	16	5	2	11	11	1	8	17	
9999964	36	30	30	4	2	24	24	2	24	36	
9999945	55	50	50	7	3	37	37	3	34	55	
9999901	99	59	59	7	3	33	33	2	25	99	
9999981	19	15	15	4	4	9	9	4	10	19	
9999994	6	6	6	1	1	4	4	1	4	6	
9999993	7	6	6	3	1	2	2	1	3	7	
9999980	20	17	17	3	2	7	7	2	6	20	
9999978	22	20	20	4	2	15	15	2	16	22	
9999984	16	16	16	1	1	10	10	0	6	16	
9999984	16	15	15	2	2	13	13	2	13	16	
9999987	13	9	9	2	2	5	5	1	3	13	
9999987	13	11	11	4	1	6	6	1	7	13	
9999993	7	5	5	2	2	1	1	0	1	7	
9999974	26	25	25	6	2	16	16	2	19	26	
9999982	18	15	15	2	1	12	12	0	10	18	
9999986	14	12	12	1	1	9	9	1	6	14	
9999973	27	22	22	6	2	13	13	0	16	27	
9999984	16	15	15	4	1	11	11	0	12	16	
9999992	8	6	6	1	1	4	4	1	1	8	
9999988	12	9	9	2	1	5	5	1	5	12	
9999985	15	15	15	4	1	8	8	0	10	15	
9999960	40	33	33	2	2	23	23	2	22	40	
9999968	32	28	28	3	1	22	22	1	19	32	
9999855	145	85	85	6	3	52	52	1	37	145	
9999978	22	20	20	2	2	15	15	1	12	22	
9999991	9	8	8	2	1	5	5	1	6	9	
9999978	22	17	17	4	3	11	11	2	10	22	
9999965	35	28	28	7	2	21	21	2	23	35	
9999980	20	15	15	3	2	10	10	1	10	20	
9999976	24	20	20	2	2	15	15	1	13	24	
9999991	9	9	9	2	2	6	6	1	3	9	
9999986	14	11	11	2	2	9	9	0	8	14	
9999971	29	29	29	4	3	23	23	2	25	29	
9999936	64	61	61	12	6	48	48	6	56	64	
9999958	42	35	35	4	2	26	26	2	19	42	
9999988	12	10	10	2	2	7	7	2	5	12	
9999979	21	17	17	7	5	9	9	3	13	21	
9999977	23	21	21	4	2	15	15	2	16	23	
9999991	9	7	7	1	1	3	3	0	2	9	
9999994	6	5	5	2	2	3	3	0	3	6	
9999920	80	76	76	12	5	58	58	4	61	80	
9999989	11	8	8	2	2	5	5	2	5	11	
9999967	33	27	27	3	2	20	20	1	17	33	
9996078	3922	2073	2073	179	40	999	999	13	514	3922	
9999976	24	21	21	2	1	18	18	1	16	24	
9999990	10	8	8	3	2	2	2	1	2	10	
9999963	37	31	31	6	3	19	19	2	21	37	
9999977	23	20	20	2	2	15	15	2	14	23	
9999988	12	9	9	2	2	6	6	2	6	12	
9999935	65	61	61	11	6	44	44	6	51	65	
9999974	26	23	23	3	2	20	20	1	19	26	
9999991	9	9	9	1	0	6	6	0	5	9	
9999968	32	18	18	7	1	6	6	1	3	32	
9999979	21	15	15	2	1	10	10	0	8	21	
9999988	12	11	11	3	2	4	4	1	4	12	
9999952	48	43	43	8	5	30	30	4	26	48	
9999979	21	18	18	3	2	10	10	0	5	21	
9999972	28	10	10	1	1	4	4	1	2	28	
9999979	21	20	20	3	1	16	16	0	15	21	
9999983	17	12	12	3	2	7	7	1	4	17	
9999951	49	47	47	10	4	34	34	4	37	49	
9999997	3	2	2	1	1	0	0	1	0	3	
9999965	35	32	32	5	3	25	25	2	25	35	
9999966	34	27	27	3	2	20	20	1	17	34	
9999966	34	27	27	2	1	21	21	1	16	34	
9999984	16	13	13	4	3	7	7	2	8	16	
9999988	12	12	12	2	2	9	9	1	6	12	
9999986	14	13	13	3	2	10	10	0	10	14	
9999991	9	6	6	2	2	2	2	0	1	9	
9999984	16	14	14	3	1	10	10	0	10	16	
9999977	23	18	18	2	1	13	13	1	13	23	
9999980	20	15	15	3	2	9	9	2	4	20	
9999973	27	23	23	4	3	17	17	2	14	27	
9999951	49	46	46	9	3	33	33	3	35	49	
9999965	35	32	32	7	5	20	20	4	22	35	
9999972	28	25	25	4	2	19	19	2	19	28	
9999993	7	6	6	2	1	4	4	1	4	7	
9999993	7	6	6	2	2	3	3	0	1	7	
