S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
4999974	26	19	19	3	1	13	13	1	9	26	
4999973	27	27	27	6	1	20	20	1	25	27	
4999970	30	25	25	6	1	16	16	1	15	30	
4999992	8	7	7	2	1	3	3	0	3	8	
4999941	59	52	52	8	2	39	39	2	39	59	
4999998	2	1	1	1	1	0	0	1	0	2	
4999994	6	5	5	1	1	3	3	1	1	6	
4999937	63	62	62	11	5	50	50	5	59	63	
4999973	27	27	27	3	2	23	23	2	25	27	
4999962	38	35	35	5	2	30	30	2	32	38	
4999991	9	8	8	3	2	3	3	2	5	9	
4999960	40	36	36	6	1	25	25	1	23	40	
4999974	26	26	26	3	2	23	23	2	23	26	
4999984	16	12	12	2	2	8	8	1	5	16	
4999993	7	7	7	2	1	4	4	1	4	7	
4999988	12	10	10	1	1	8	8	1	7	12	
4999996	4	3	3	1	1	1	1	1	1	4	
4999990	10	9	9	1	1	6	6	1	6	10	
4999975	25	21	21	3	2	16	16	2	14	25	
4999981	19	19	19	4	3	11	11	3	12	19	
4999994	6	6	6	1	1	3	3	1	3	6	
4999995	5	5	5	1	1	4	4	1	3	5	
4999993	7	6	6	1	1	4	4	1	5	7	
4999937	63	62	62	11	5	49	49	5	57	63	
4999997	3	2	2	1	1	1	1	1	1	3	
4999978	22	21	21	2	2	15	15	1	14	22	
4999974	26	25	25	4	2	20	20	2	22	26	
4999992	8	5	5	1	1	2	2	1	1	8	
4999996	4	3	3	1	1	1	1	1	1	4	
4999937	63	62	62	11	5	49	49	5	57	63	
4999971	29	21	21	4	3	11	11	2	9	29	
4999961	39	33	33	2	2	29	29	1	29	39	
4999980	20	12	12	1	1	8	8	1	4	20	
4999993	7	6	6	1	1	5	5	1	5	7	
4999985	15	13	13	1	1	10	10	1	11	15	
4999982	18	17	17	4	2	12	12	1	13	18	
4999993	7	7	7	2	1	3	3	1	4	7	
4999996	4	4	4	1	1	3	3	1	1	4	
4999990	10	9	9	1	1	7	7	1	7	10	
4999986	14	11	11	4	3	6	6	1	8	14	
4999947	53	47	47	7	3	36	36	2	34	53	
4999982	18	16	16	2	2	12	12	1	8	18	
4999995	5	5	5	1	1	4	4	1	3	5	
4999997	3	2	2	1	1	0	0	1	0	3	
4999994	6	5	5	1	1	4	4	1	4	6	
4999985	15	15	15	1	1	12	12	1	9	15	
4999992	8	8	8	2	1	5	5	1	6	8	
4999974	26	26	26	3	2	22	22	2	22	26	
4999990	10	10	10	2	1	8	8	1	7	10	
4999954	46	44	44	5	3	37	37	3	36	46	
4999990	10	10	10	2	1	7	7	1	9	10	
4999998	2	1	1	1	1	0	0	1	0	2	
4999988	12	9	9	2	2	7	7	1	3	12	
4999989	11	8	8	2	2	6	6	2	7	11	
4999986	14	13	13	1	1	12	12	1	12	14	
4999997	3	2	2	1	1	0	0	1	0	3	
4999991	9	9	9	1	1	5	5	1	2	9	
4999989	11	10	10	4	2	6	6	2	7	11	
4999994	6	5	5	3	1	2	2	1	3	6	
4999996	4	4	4	1	1	3	3	1	1	4	
4999997	3	2	2	1	1	1	1	1	1	3	
4999980	20	18	18	2	2	14	14	1	14	20	
4999993	7	5	5	1	1	3	3	1	3	7	
4999983	17	13	13	5	4	6	6	2	7	17	
4999967	33	28	28	3	1	23	23	1	23	33	
4999967	33	28	28	3	1	23	23	1	23	33	
4999992	8	6	6	2	2	3	3	1	3	8	
4999981	19	16	16	4	2	10	10	2	10	19	
4999994	6	5	5	2	1	3	3	1	2	6	
4999986	14	13	13	1	1	12	12	1	12	14	
4999982	18	15	15	3	3	11	11	2	10	18	
4999993	7	6	6	1	1	5	5	1	4	7	
4999987	13	11	11	3	1	8	8	1	9	13	
4999980	20	19	19	4	1	12	12	1	15	20	
4999994	6	5	5	1	1	2	2	1	0	6	
4999988	12	8	8	2	1	5	5	1	3	12	
4999992	8	7	7	2	2	3	3	2	3	8	
4999988	12	12	12	2	1	8	8	1	8	12	
4999985	15	11	11	2	1	9	9	1	11	15	
4999983	17	13	13	3	1	7	7	1	7	17	
4999966	34	28	28	7	3	20	20	2	23	34	
4999985	15	11	11	1	1	10	10	1	11	15	
4999998	2	1	1	1	1	0	0	1	0	2	
4999977	23	22	22	2	2	17	17	2	14	23	
4999983	17	13	13	5	4	6	6	2	7	17	
4999965	35	30	30	4	3	23	23	2	25	35	
4999974	26	24	24	2	2	22	22	2	20	26	
4999993	7	7	7	1	1	4	4	1	5	7	
4999992	8	6	6	1	1	4	4	1	2	8	
4999997	3	3	3	1	1	2	2	1	1	3	
4999978	22	20	20	2	2	17	17	1	12	22	
4999978	22	20	20	2	2	17	17	1	12	22	
4999995	5	5	5	1	1	4	4	1	4	5	
4999985	15	15	15	1	1	13	13	1	11	15	
4999996	4	4	4	1	1	2	2	1	1	4	
4999971	29	28	28	1	1	26	26	1	25	29	
4999990	10	9	9	2	2	6	6	1	2	10	
4999991	9	8	8	1	1	6	6	1	6	9	
4999984	16	15	15	1	1	13	13	1	13	16	
4999997	3	3	3	1	1	2	2	1	0	3	
4999971	29	27	27	1	1	25	25	1	24	29	
4999992	8	6	6	2	2	4	4	1	4	8	
4999986	14	13	13	1	1	10	10	1	9	14	
4999990	10	9	9	1	1	6	6	1	4	10	
4999998	2	2	2	1	1	1	1	1	0	2	
4999986	14	13	13	1	1	10	10	1	9	14	
4999986	14	13	13	1	1	12	12	1	12	14	
4999994	6	4	4	1	1	3	3	1	3	6	
4999988	12	10	10	1	1	8	8	1	7	12	
4999979	21	20	20	2	1	17	17	1	17	21	
4999993	7	6	6	1	1	5	5	1	5	7	
4999991	9	9	9	1	1	3	3	1	1	9	
4999980	20	16	16	2	2	12	12	1	12	20	
4999994	6	5	5	3	1	2	2	1	3	6	
4999988	12	11	11	2	1	7	7	1	4	12	
4999986	14	13	13	5	4	6	6	2	7	14	
4999995	5	4	4	1	1	3	3	0	2	5	
4999996	4	3	3	1	1	2	2	1	2	4	
4999998	2	1	1	1	1	0	0	1	0	2	
4999992	8	8	8	2	1	5	5	1	6	8	
4999979	21	19	19	2	1	16	16	1	16	21	
4999990	10	10	10	2	1	8	8	1	9	10	
4999997	3	3	3	1	1	1	1	1	1	3	
4999990	10	8	8	2	2	4	4	1	5	10	
4999990	10	10	10	2	1	7	7	1	5	10	
4999992	8	7	7	1	1	4	4	1	2	8	
4999978	22	21	21	2	2	15	15	1	14	22	
4999980	20	16	16	2	1	10	10	1	8	20	
4999983	17	13	13	5	4	6	6	2	7	17	
4999977	23	18	18	3	3	10	10	1	9	23	
4999992	8	6	6	1	1	4	4	1	2	8	
4999996	4	3	3	1	1	2	2	1	1	4	
4999991	9	7	7	1	1	4	4	1	4	9	
4999985	15	15	15	2	1	11	11	1	10	15	
4999997	3	3	3	1	1	2	2	1	2	3	
4999997	3	3	3	1	1	2	2	1	2	3	
4999980	20	17	17	2	2	13	13	1	14	20	
4999983	17	14	14	1	1	11	11	1	9	17	
4999949	51	45	45	7	3	35	35	2	31	51	
4999997	3	3	3	1	1	2	2	1	1	3	
4999989	11	10	10	2	1	8	8	1	8	11	
4999992	8	6	6	1	1	4	4	1	3	8	
4999965	35	30	30	4	1	22	22	1	19	35	
4999968	32	26	26	2	1	23	23	1	23	32	
4999996	4	3	3	1	1	0	0	0	0	4	
4999993	7	7	7	2	1	4	4	1	5	7	
4999976	24	19	19	2	2	15	15	1	11	24	
4999967	33	33	33	5	2	27	27	2	29	33	
4999987	13	11	11	5	3	6	6	2	7	13	
4999985	15	15	15	1	1	11	11	1	9	15	
4999998	2	2	2	1	1	0	0	0	0	2	
4999997	3	2	2	1	1	0	0	1	0	3	
4999997	3	2	2	1	1	0	0	1	0	3	
4999952	48	41	41	6	3	28	28	2	27	48	
4999965	35	34	34	5	2	27	27	2	30	35	
4999997	3	3	3	1	1	1	1	1	1	3	
4999974	26	26	26	6	1	19	19	1	25	26	
4999983	17	14	14	3	3	10	10	1	8	17	
4999998	2	1	1	1	1	0	0	1	0	2	
4999991	9	8	8	1	1	6	6	1	6	9	
4999977	23	22	22	3	1	15	15	1	16	23	
4999994	6	5	5	3	1	2	2	1	3	6	
4999988	12	11	11	2	1	7	7	1	4	12	
4999990	10	9	9	1	1	8	8	1	8	10	
4999998	2	1	1	1	1	0	0	1	0	2	
4999974	26	26	26	6	1	19	19	1	25	26	
4999988	12	7	7	1	1	3	3	1	3	12	
4999953	47	44	44	5	3	37	37	3	40	47	
4999990	10	8	8	2	1	5	5	1	7	10	
4999988	12	10	10	1	1	8	8	1	7	12	
4999979	21	19	19	2	1	16	16	1	16	21	
4999987	13	12	12	3	2	8	8	1	6	13	
4999995	5	4	4	1	1	3	3	1	3	5	
4999987	13	13	13	1	1	9	9	1	9	13	
4999971	29	27	27	3	2	24	24	2	23	29	
4999990	10	10	10	2	1	7	7	1	9	10	
4999995	5	4	4	1	1	2	2	1	2	5	
4999953	47	44	44	5	3	37	37	3	40	47	
4999997	3	3	3	1	1	2	2	1	0	3	
4999954	46	44	44	5	3	37	37	3	36	46	
4999979	21	20	20	2	1	17	17	1	17	21	
4999986	14	13	13	1	1	12	12	1	12	14	
4999984	16	15	15	4	3	10	10	2	8	16	
4999995	5	3	3	1	0	2	2	0	1	5	
4999954	46	44	44	5	3	37	37	3	37	46	
4999994	6	5	5	1	1	4	4	1	4	6	
4999993	7	5	5	1	1	4	4	1	3	7	
4999993	7	6	6	1	1	4	4	1	4	7	
4999986	14	12	12	2	1	8	8	0	9	14	
4999991	9	8	8	1	1	7	7	1	4	9	
4999998	2	2	2	1	1	1	1	1	0	2	
4999985	15	12	12	4	3	6	6	1	8	15	
4999974	26	25	25	6	1	19	19	1	25	26	
4999987	13	12	12	3	2	8	8	1	6	13	
4999989	11	11	11	3	1	8	8	1	9	11	
4999980	20	16	16	2	1	11	11	1	9	20	
4999987	13	11	11	2	2	7	7	1	6	13	
4999994	6	4	4	1	1	1	1	1	1	6	
4999991	9	7	7	1	1	5	5	1	4	9	
4999996	4	3	3	1	1	1	1	1	1	4	
4999984	16	10	10	1	1	8	8	1	3	16	
4999990	10	6	6	1	1	2	2	1	1	10	
4999993	7	7	7	2	1	4	4	1	5	7	
4999998	2	1	1	1	1	0	0	1	0	2	
4999992	8	8	8	2	1	5	5	1	6	8	
4999974	26	24	24	6	2	15	15	2	17	26	
4999989	11	10	10	2	1	8	8	1	8	11	
4999984	16	13	13	3	2	9	9	1	7	16	
4999993	7	6	6	1	1	4	4	1	4	7	
4999979	21	19	19	2	2	14	14	1	10	21	
4999980	20	17	17	3	2	14	14	1	14	20	
4999984	16	15	15	1	1	13	13	1	12	16	
4999994	6	4	4	1	1	3	3	1	3	6	
4999985	15	12	12	3	2	8	8	1	7	15	
4999983	17	15	15	3	2	10	10	1	7	17	
4999989	11	11	11	3	2	7	7	2	9	11	
4999985	15	12	12	3	2	8	8	1	7	15	
4999979	21	20	20	2	1	17	17	1	17	21	
4999962	38	33	33	4	1	24	24	1	19	38	
4999976	24	17	17	1	1	15	15	1	14	24	
4999983	17	8	8	2	2	4	4	1	3	17	
4999997	3	2	2	1	1	1	1	1	2	3	
4999940	60	51	51	7	3	40	40	2	38	60	
4999987	13	13	13	2	1	9	9	1	9	13	
4999954	46	44	44	5	3	37	37	3	36	46	
4999979	21	17	17	2	1	10	10	1	4	21	
4999966	34	31	31	2	1	28	28	1	27	34	
4999989	11	11	11	2	1	8	8	1	10	11	
4999980	20	17	17	3	1	14	14	1	14	20	
4999995	5	5	5	1	1	4	4	1	3	5	
4999998	2	1	1	1	1	0	0	1	0	2	
4999982	18	16	16	1	1	15	15	1	13	18	
4999984	16	15	15	1	1	12	12	1	7	16	
4999989	11	10	10	2	1	8	8	1	7	11	
4999997	3	3	3	1	1	1	1	1	1	3	
4999997	3	2	2	1	1	1	1	1	1	3	
4999993	7	6	6	1	1	5	5	1	6	7	
4999998	2	2	2	1	1	1	1	1	0	2	
4999955	45	39	39	6	3	26	26	2	24	45	
4999980	20	19	19	3	1	14	14	1	16	20	
4999954	46	44	44	5	3	37	37	3	36	46	
4999987	13	11	11	5	3	6	6	2	7	13	
4999954	46	44	44	5	3	37	37	3	36	46	
4999994	6	6	6	3	2	3	3	1	4	6	
4999985	15	15	15	1	1	13	13	1	11	15	
4999974	26	24	24	6	2	15	15	2	17	26	
4999998	2	1	1	1	1	0	0	1	0	2	
4999984	16	11	11	4	1	7	7	1	8	16	
4999992	8	8	8	2	1	6	6	1	3	8	
4999996	4	3	3	1	1	0	0	0	0	4	
4999984	16	15	15	4	2	9	9	1	10	16	
4999988	12	9	9	1	1	7	7	1	4	12	
4999982	18	13	13	1	1	9	9	1	4	18	
4999985	15	14	14	1	1	10	10	1	10	15	
4999994	6	5	5	2	1	3	3	1	2	6	
4999976	24	22	22	2	2	19	19	1	15	24	
4999997	3	3	3	1	1	1	1	1	1	3	
4999948	52	46	46	8	2	34	34	2	37	52	
4999992	8	6	6	1	1	4	4	1	4	8	
4999973	27	24	24	3	1	15	15	1	11	27	
4999982	18	16	16	3	2	10	10	1	10	18	
4999997	3	3	3	1	1	2	2	1	2	3	
4999996	4	4	4	1	1	1	1	1	0	4	
4999966	34	31	31	2	1	28	28	1	27	34	
4999992	8	4	4	1	1	2	2	1	1	8	
4999986	14	11	11	1	1	9	9	1	8	14	
4999991	9	8	8	2	1	4	4	1	5	9	
4999991	9	8	8	2	1	5	5	1	5	9	
4999948	52	46	46	8	2	34	34	2	37	52	
4999991	9	7	7	1	1	5	5	1	6	9	
4999984	16	11	11	4	1	7	7	1	8	16	
4999998	2	2	2	1	1	1	1	1	0	2	
4999996	4	4	4	1	1	3	3	1	3	4	
4999988	12	12	12	2	1	9	9	1	8	12	
4999986	14	13	13	2	1	11	11	1	11	14	
4999936	64	56	56	7	4	46	46	3	43	64	
4999983	17	16	16	4	3	11	11	3	10	17	
4999995	5	5	5	1	1	4	4	1	3	5	
4999981	19	15	15	2	2	13	13	1	12	19	
4999989	11	10	10	2	1	8	8	1	8	11	
4999989	11	9	9	2	1	5	5	1	7	11	
4999989	11	11	11	3	2	7	7	2	9	11	
4999974	26	26	26	6	1	19	19	1	25	26	
4999982	18	16	16	4	2	9	9	2	7	18	
4999991	9	8	8	2	1	6	6	1	7	9	
4999988	12	10	10	1	1	6	6	1	7	12	
4999998	2	1	1	1	1	0	0	1	0	2	
4999998	2	2	2	1	1	1	1	1	0	2	
4999984	16	13	13	4	3	7	7	2	8	16	
4999981	19	17	17	4	2	10	10	2	11	19	
4999991	9	7	7	1	1	4	4	1	4	9	
4999974	26	25	25	6	1	19	19	1	25	26	
4999989	11	10	10	2	1	8	8	1	8	11	
4999982	18	15	15	2	1	9	9	1	4	18	
4999974	26	25	25	6	1	18	18	1	23	26	
4999994	6	5	5	2	1	2	2	1	3	6	
4999994	6	6	6	3	2	3	3	1	3	6	
4999992	8	6	6	2	2	4	4	1	4	8	
4999987	13	10	10	2	2	7	7	1	5	13	
4999974	26	26	26	6	1	19	19	1	25	26	
4999993	7	6	6	1	1	5	5	1	6	7	
4999991	9	6	6	2	2	3	3	1	2	9	
4999979	21	19	19	4	3	11	11	2	14	21	
4999983	17	14	14	4	2	7	7	0	4	17	
4999991	9	9	9	3	2	6	6	1	5	9	
4999981	19	12	12	2	2	7	7	1	6	19	
4999962	38	18	18	3	3	6	6	3	5	38	
4999996	4	4	4	1	1	1	1	0	1	4	
4999984	16	13	13	4	2	8	8	1	7	16	
4999979	21	19	19	2	2	14	14	1	10	21	
4999954	46	44	44	5	3	37	37	3	37	46	
4999974	26	26	26	3	2	22	22	2	21	26	
4999970	30	29	29	3	2	24	24	2	24	30	
4999994	6	6	6	2	1	2	2	1	3	6	
4999996	4	3	3	1	1	2	2	1	2	4	
4999968	32	26	26	2	1	22	22	1	19	32	
4999989	11	10	10	2	1	8	8	1	8	11	
4999991	9	7	7	1	1	4	4	1	4	9	
4999992	8	6	6	2	1	4	4	1	4	8	
4999986	14	7	7	2	1	3	3	1	1	14	
4999989	11	8	8	2	2	4	4	1	3	11	
4999957	43	24	24	2	1	14	14	1	10	43	
4999093	907	494	494	45	13	255	255	3	149	907	
4999406	594	356	356	33	9	200	200	5	139	594	
