S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
4999986	14	10	10	1	1	7	7	1	2	14	
4999985	15	11	11	2	1	8	8	1	6	15	
4999985	15	13	13	1	1	10	10	1	11	15	
4999973	27	25	25	3	1	19	19	1	13	27	
4999975	25	21	21	3	2	16	16	2	14	25	
4999992	8	7	7	2	1	3	3	0	3	8	
4999988	12	9	9	1	1	7	7	1	7	12	
4999982	18	15	15	3	3	11	11	2	10	18	
4999980	20	17	17	3	2	14	14	1	14	20	
4999989	11	9	9	3	2	5	5	2	5	11	
4999980	20	17	17	3	2	14	14	1	14	20	
4999984	16	16	16	1	1	13	13	1	8	16	
4999987	13	10	10	1	1	5	5	1	5	13	
4999993	7	6	6	1	1	4	4	0	4	7	
4999992	8	5	5	2	1	3	3	1	2	8	
4999980	20	17	17	3	2	14	14	1	14	20	
4999993	7	7	7	2	1	4	4	1	5	7	
4999982	18	14	14	2	1	10	10	1	5	18	
4999997	3	3	3	1	1	1	1	1	1	3	
4999993	7	6	6	1	1	3	3	1	2	7	
4999994	6	4	4	2	1	0	0	1	1	6	
4999981	19	18	18	5	2	11	11	2	12	19	
4999990	10	9	9	1	1	7	7	1	6	10	
4999983	17	16	16	1	1	14	14	1	13	17	
4999992	8	8	8	2	1	5	5	1	6	8	
4999990	10	10	10	2	1	7	7	1	5	10	
4999979	21	15	15	2	1	11	11	1	5	21	
4999991	9	8	8	2	1	4	4	1	5	9	
4999992	8	7	7	2	1	5	5	1	5	8	
4999940	60	51	51	7	3	40	40	2	38	60	
4999974	26	26	26	6	1	19	19	1	25	26	
4999979	21	20	20	2	1	17	17	1	17	21	
4999982	18	16	16	2	2	12	12	1	12	18	
4999994	6	4	4	1	1	3	3	1	3	6	
4999979	21	17	17	2	1	10	10	1	4	21	
4999986	14	12	12	5	3	6	6	2	7	14	
4999979	21	21	21	2	2	15	15	1	14	21	
4999977	23	22	22	4	1	18	18	1	16	23	
4999990	10	10	10	2	1	8	8	1	9	10	
4999970	30	14	14	2	1	4	4	1	1	30	
4999997	3	2	2	2	1	0	0	1	1	3	
4998874	1126	665	665	74	17	343	343	6	199	1126	
4999991	9	9	9	3	2	6	6	1	5	9	
4999981	19	15	15	3	2	9	9	1	8	19	
4999985	15	15	15	3	1	11	11	1	12	15	
4999994	6	4	4	1	1	2	2	1	3	6	
4999982	18	13	13	1	1	9	9	1	4	18	
4999995	5	5	5	1	1	4	4	1	3	5	
4999988	12	10	10	2	2	7	7	1	5	12	
4999979	21	19	19	4	3	13	13	3	12	21	
4999992	8	5	5	1	1	2	2	1	1	8	
4999997	3	3	3	1	1	1	1	1	1	3	
4999990	10	10	10	4	2	5	5	1	6	10	
4999992	8	7	7	2	1	5	5	1	5	8	
4999967	33	33	33	5	2	27	27	2	29	33	
4999987	13	9	9	2	2	4	4	1	5	13	
4999970	30	29	29	3	2	24	24	2	24	30	
4999981	19	16	16	4	3	11	11	3	12	19	
4999965	35	32	32	2	2	29	29	1	28	35	
4999979	21	13	13	3	2	9	9	1	9	21	
4999990	10	9	9	1	1	7	7	1	6	10	
4999990	10	10	10	2	1	7	7	1	9	10	
4999987	13	9	9	2	2	5	5	2	3	13	
4999995	5	5	5	1	1	4	4	1	3	5	
4999993	7	5	5	1	1	3	3	1	3	7	
4999991	9	9	9	3	1	4	4	1	6	9	
4999992	8	7	7	1	1	6	6	1	4	8	
4999992	8	7	7	1	1	6	6	1	4	8	
4999997	3	2	2	1	1	0	0	1	0	3	
4999991	9	9	9	4	1	5	5	1	6	9	
4999991	9	9	9	4	1	5	5	1	6	9	
4999985	15	15	15	1	1	12	12	1	9	15	
4999989	11	11	11	2	1	6	6	1	3	11	
4999994	6	4	4	1	1	3	3	1	3	6	
4999990	10	10	10	2	1	8	8	1	9	10	
4999996	4	3	3	1	1	2	2	1	2	4	
4999992	8	7	7	1	1	6	6	1	4	8	
4999990	10	9	9	2	2	6	6	1	2	10	
4999997	3	3	3	1	1	2	2	1	1	3	
4999974	26	26	26	3	2	22	22	2	21	26	
