S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
4999978	22	18	18	2	2	15	15	2	14	22	
4999763	237	146	146	16	4	77	77	2	38	237	
4999993	7	6	6	2	1	4	4	1	4	7	
4999983	17	12	12	3	1	6	6	1	5	17	
4999827	173	112	112	10	3	68	68	2	42	173	
4999906	94	49	49	5	3	23	23	2	20	94	
4999975	25	20	20	4	3	15	15	3	16	25	
4999912	88	64	64	8	5	38	38	2	30	88	
4999990	10	10	10	2	2	8	8	1	7	10	
4999872	128	61	61	7	3	29	29	1	15	128	
4999757	243	151	151	13	6	92	92	4	73	243	
4999983	17	10	10	3	2	5	5	1	4	17	
4999975	25	22	22	1	1	16	16	1	10	25	
4999988	12	9	9	1	1	7	7	1	6	12	
4999966	34	28	28	6	2	16	16	2	15	34	
4999971	29	25	25	2	1	18	18	1	12	29	
4999966	34	20	20	3	2	9	9	1	7	34	
4999994	6	6	6	1	1	3	3	1	3	6	
4999990	10	7	7	1	1	5	5	1	5	10	
4999963	37	29	29	5	3	22	22	2	17	37	
4999916	84	48	48	4	3	20	20	1	9	84	
4999639	361	177	177	18	5	96	96	1	48	361	
4999994	6	4	4	1	1	2	2	1	3	6	
4999986	14	10	10	1	1	8	8	1	8	14	
4999988	12	11	11	2	1	9	9	1	9	12	
4999932	68	44	44	3	1	25	25	1	12	68	
4999941	59	36	36	6	2	14	14	1	6	59	
4997679	2321	1256	1256	109	24	648	648	4	353	2321	
4999934	66	58	58	9	5	43	43	2	38	66	
4999994	6	4	4	2	1	0	0	1	1	6	
4999961	39	25	25	7	2	13	13	1	13	39	
4999982	18	15	15	2	1	10	10	1	11	18	
4999992	8	6	6	1	1	4	4	1	2	8	
4999962	38	31	31	7	2	18	18	2	22	38	
4999887	113	89	89	9	3	63	63	2	47	113	
4999992	8	6	6	1	1	5	5	1	4	8	
4999994	6	4	4	1	1	3	3	1	3	6	
4999990	10	9	9	1	1	7	7	1	6	10	
4999995	5	4	4	1	1	2	2	1	0	5	
4999981	19	19	19	4	1	11	11	1	12	19	
4999951	49	39	39	7	2	21	21	2	13	49	
4998221	1779	984	984	108	33	492	492	10	295	1779	
4910216	89784	60952	60952	6548	2088	36840	36840	770	26030	89784	
4999953	47	34	34	3	1	20	20	1	16	47	
4999948	52	36	36	4	1	23	23	1	17	52	
4999750	250	179	179	17	7	121	121	4	82	250	
4999989	11	8	8	2	1	6	6	1	6	11	
4999988	12	8	8	2	1	2	2	1	0	12	
4999971	29	22	22	1	1	17	17	1	9	29	
4999990	10	5	5	2	1	1	1	1	2	10	
4999915	85	55	55	6	1	35	35	1	21	85	
4999979	21	17	17	3	1	12	12	1	8	21	
4999951	49	31	31	5	2	19	19	2	15	49	
4999986	14	11	11	3	1	8	8	1	9	14	
4999986	14	8	8	3	2	3	3	1	1	14	
4999946	54	36	36	3	1	22	22	1	11	54	
4999973	27	23	23	2	1	19	19	1	19	27	
4999987	13	10	10	2	1	5	5	1	3	13	
4999989	11	9	9	3	2	3	3	1	4	11	
4999958	42	28	28	2	2	15	15	1	10	42	
4999980	20	18	18	4	2	11	11	1	11	20	
4999988	12	11	11	2	1	8	8	1	9	12	
4999973	27	23	23	2	1	19	19	1	19	27	
4999993	7	6	6	1	1	4	4	1	4	7	
4999966	34	31	31	2	1	28	28	1	27	34	
4999988	12	7	7	2	1	2	2	1	1	12	
4999398	602	305	305	27	3	116	116	0	54	602	
4999994	6	5	5	2	2	2	2	1	1	6	
4999966	34	19	19	3	2	12	12	1	9	34	
4999980	20	18	18	3	2	14	14	1	15	20	
4999969	31	22	22	3	1	12	12	1	13	31	
4999992	8	6	6	1	1	1	1	1	0	8	
4999988	12	9	9	2	1	7	7	1	7	12	
4999994	6	5	5	1	1	2	2	1	1	6	
4999980	20	17	17	5	4	11	11	2	12	20	
4999991	9	7	7	2	1	5	5	1	6	9	
4999990	10	5	5	1	1	2	2	1	2	10	
4999971	29	23	23	3	2	17	17	2	14	29	
4999798	202	144	144	17	5	86	86	2	64	202	
4999856	144	62	62	4	1	33	33	1	17	144	
4999845	155	123	123	15	8	90	90	2	79	155	
4998742	1258	664	664	68	13	337	337	5	232	1258	
4999995	5	4	4	2	1	2	2	1	2	5	
4999747	253	138	138	16	3	63	63	1	37	253	
4999964	36	21	21	4	1	10	10	0	5	36	
4999994	6	4	4	2	1	1	1	1	1	6	
4999989	11	9	9	2	2	7	7	2	5	11	
4998481	1519	674	674	55	11	294	294	4	137	1519	
4999986	14	13	13	2	1	11	11	1	11	14	
4999987	13	9	9	2	1	5	5	1	4	13	
4999578	422	244	244	29	9	138	138	4	109	422	
4998834	1166	676	676	65	23	360	360	8	233	1166	
4999972	28	18	18	3	1	12	12	1	13	28	
4999019	981	487	487	40	10	203	203	2	102	981	
4998275	1725	879	879	78	23	434	434	5	205	1725	
4999685	315	239	239	27	10	161	161	5	136	315	
4999987	13	11	11	1	1	9	9	1	8	13	
4999961	39	26	26	3	1	16	16	1	17	39	
4999945	55	38	38	4	1	29	29	1	15	55	
4999970	30	27	27	7	4	19	19	2	16	30	
4999987	13	9	9	3	1	5	5	1	4	13	
4999987	13	6	6	1	1	2	2	1	1	13	
4999961	39	23	23	5	3	13	13	1	8	39	
4999660	340	223	223	20	6	138	138	5	102	340	
4999965	35	26	26	4	2	16	16	1	11	35	
4999995	5	4	4	1	1	1	1	1	1	5	
4999985	15	13	13	3	1	10	10	1	9	15	
4999989	11	9	9	2	1	5	5	1	5	11	
4999818	182	106	106	11	4	50	50	2	32	182	
4999561	439	227	227	23	4	112	112	2	66	439	
4999946	54	36	36	5	2	22	22	2	15	54	
4999060	940	544	544	51	14	282	282	5	161	940	
4999918	82	62	62	8	1	40	40	1	30	82	
4999947	53	40	40	3	1	26	26	1	20	53	
4999983	17	12	12	3	1	5	5	1	4	17	
4999915	85	52	52	7	3	27	27	1	19	85	
4999717	283	196	196	25	6	122	122	2	95	283	
4999984	16	14	14	3	2	9	9	1	7	16	
4999953	47	19	19	2	2	7	7	1	7	47	
4999994	6	4	4	1	1	3	3	1	3	6	
4999739	261	157	157	10	1	95	95	1	57	261	
4999887	113	94	94	16	8	61	61	5	49	113	
4999946	54	38	38	5	1	22	22	1	15	54	
4999760	240	197	197	25	13	136	136	6	116	240	
4999899	101	67	67	7	3	38	38	2	31	101	
4999993	7	5	5	1	1	2	2	1	2	7	
4999992	8	6	6	3	2	3	3	1	4	8	
4999963	37	26	26	3	1	16	16	1	12	37	
4999973	27	21	21	1	1	18	18	1	14	27	
4999966	34	22	22	5	3	12	12	1	5	34	
4999978	22	16	16	3	1	12	12	1	11	22	
4999986	14	10	10	3	1	5	5	1	5	14	
4999933	67	35	35	4	2	20	20	1	13	67	
4999648	352	197	197	21	6	104	104	2	61	352	
4999971	29	24	24	2	2	16	16	2	11	29	
4999966	34	31	31	4	1	23	23	1	24	34	
4999984	16	16	16	2	2	13	13	0	13	16	
4999981	19	12	12	2	2	7	7	1	6	19	
4999981	19	12	12	1	1	8	8	1	3	19	
4999984	16	15	15	4	2	9	9	1	10	16	
4999963	37	23	23	6	2	10	10	1	7	37	
4999983	17	16	16	2	2	14	14	1	14	17	
4999962	38	36	36	6	2	30	30	2	33	38	
4999987	13	6	6	1	1	2	2	1	1	13	
4999899	101	84	84	5	1	66	66	1	60	101	
4999959	41	38	38	7	2	28	28	2	30	41	
4999973	27	19	19	3	2	10	10	1	10	27	
4999924	76	67	67	9	2	51	51	2	56	76	
4999973	27	23	23	5	4	17	17	4	17	27	
4999649	351	208	208	16	3	120	120	1	68	351	
4999948	52	50	50	7	3	39	39	3	40	52	
4999987	13	9	9	5	4	4	4	2	3	13	
4998610	1390	854	854	76	22	468	468	12	343	1390	
4999982	18	17	17	4	2	11	11	2	11	18	
4999959	41	32	32	4	3	22	22	1	22	41	
4999872	128	49	49	5	2	29	29	2	26	128	
4999983	17	11	11	1	1	6	6	1	7	17	
4999289	711	368	368	27	7	157	157	0	69	711	
4999961	39	25	25	5	3	14	14	1	6	39	
4999469	531	231	231	21	5	91	91	2	47	531	
4999758	242	173	173	24	4	107	107	1	82	242	
4993277	6723	4283	4283	440	141	2481	2481	56	1723	6723	
4999956	44	22	22	4	1	8	8	1	4	44	
4999996	4	3	3	1	1	2	2	1	1	4	
4994962	5038	2895	2895	284	81	1568	1568	21	880	5038	
4999986	14	12	12	1	1	9	9	1	7	14	
4999588	412	281	281	25	7	171	171	1	111	412	
4999969	31	26	26	1	1	16	16	1	12	31	
4999931	69	48	48	4	2	29	29	2	21	69	
4999724	276	203	203	27	8	114	114	5	81	276	
4999873	127	82	82	8	3	49	49	2	32	127	
4999974	26	21	21	5	2	13	13	2	15	26	
4999995	5	4	4	1	1	2	2	1	1	5	
4999985	15	12	12	2	1	10	10	1	9	15	
4999698	302	195	195	19	6	121	121	3	85	302	
4999883	117	77	77	6	2	49	49	0	33	117	
4999883	117	98	98	14	6	69	69	5	72	117	
4999969	31	24	24	1	1	18	18	1	15	31	
4999985	15	10	10	2	1	7	7	1	8	15	
4999979	21	19	19	4	3	13	13	2	15	21	
4999959	41	29	29	5	2	21	21	2	24	41	
4999102	898	461	461	33	10	219	219	1	91	898	
4999972	28	18	18	3	1	12	12	1	13	28	
4999933	67	56	56	5	4	46	46	1	41	67	
4999991	9	9	9	1	1	7	7	1	6	9	
4999984	16	16	16	5	2	7	7	2	10	16	
4999981	19	17	17	5	2	10	10	2	11	19	
4995584	4416	2589	2589	258	69	1329	1329	24	779	4416	
4999433	567	288	288	27	3	125	125	1	57	567	
4999937	63	38	38	3	1	24	24	1	24	63	
4996761	3239	1882	1882	179	44	974	974	11	569	3239	
4999909	91	59	59	5	3	38	38	2	29	91	
4999930	70	53	53	6	3	33	33	2	23	70	
4999977	23	14	14	2	1	4	4	1	4	23	
4999987	13	11	11	2	1	9	9	1	9	13	
4996495	3505	2000	2000	204	55	1005	1005	16	592	3505	
4999888	112	87	87	12	5	60	60	4	61	112	
4999961	39	31	31	4	2	21	21	1	20	39	
4999910	90	57	57	6	1	29	29	1	19	90	
4999974	26	19	19	5	2	10	10	2	13	26	
4999987	13	13	13	3	2	6	6	2	5	13	
4999987	13	11	11	1	1	10	10	1	8	13	
4999936	64	43	43	3	1	27	27	1	19	64	
4999935	65	60	60	9	5	45	45	3	47	65	
4999947	53	27	27	4	1	11	11	1	6	53	
4999978	22	12	12	2	2	4	4	1	4	22	
4999994	6	6	6	1	1	3	3	1	3	6	
