S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
4999988	12	10	10	2	2	7	7	1	5	12	
5000000	0	0	0	0	0	0	0	0	0	0	
4999998	2	2	2	0	0	2	2	0	1	2	
4999998	2	1	1	1	0	0	0	0	0	2	
4999992	8	6	6	0	0	3	3	0	3	8	
4999985	15	12	12	4	3	6	6	1	8	15	
4999991	9	8	8	3	2	2	2	0	1	9	
4999981	19	9	9	2	0	5	5	0	2	19	
4999992	8	8	8	2	1	6	6	1	3	8	
4999993	7	6	6	1	1	5	5	1	4	7	
4999952	48	41	41	6	3	28	28	2	27	48	
5000000	0	0	0	0	0	0	0	0	0	0	
4999998	2	1	1	1	1	0	0	0	0	2	
4999995	5	5	5	1	1	4	4	1	3	5	
4999989	11	10	10	4	2	5	5	1	6	11	
4999997	3	3	3	1	1	2	2	1	0	3	
4999999	1	1	1	0	0	0	0	0	0	1	
4999999	1	1	1	0	0	1	1	0	0	1	
4999998	2	2	2	0	0	1	1	0	1	2	
4999987	13	10	10	2	1	7	7	1	5	13	
4999998	2	1	1	0	0	1	1	0	0	2	
4999990	10	9	9	3	1	6	6	0	6	10	
4999998	2	1	1	1	0	0	0	0	0	2	
4999992	8	7	7	1	1	5	5	1	3	8	
4999993	7	7	7	2	1	4	4	0	4	7	
4999998	2	1	1	0	0	1	1	0	0	2	
5000000	0	0	0	0	0	0	0	0	0	0	
4999999	1	1	1	0	0	0	0	0	0	1	
4999977	23	19	19	4	2	13	13	0	14	23	
5000000	0	0	0	0	0	0	0	0	0	0	
4999989	11	7	7	1	0	3	3	0	2	11	
4999991	9	8	8	1	1	6	6	1	6	9	
4999998	2	1	1	0	0	1	1	0	1	2	
4999992	8	7	7	2	2	4	4	1	1	8	
4999982	18	8	8	0	0	2	2	0	1	18	
5000000	0	0	0	0	0	0	0	0	0	0	
4999999	1	1	1	1	0	0	0	0	0	1	
4999995	5	5	5	1	1	4	4	1	3	5	
4999999	1	1	1	1	0	0	0	0	0	1	
4999993	7	6	6	1	0	4	4	0	5	7	
4999998	2	2	2	1	1	0	0	0	0	2	
4999966	34	22	22	4	2	11	11	1	9	34	
4994896	5104	2787	2787	253	58	1370	1370	18	746	5104	
4999994	6	5	5	1	1	3	3	1	3	6	
4999996	4	1	1	1	1	0	0	0	0	4	
4999981	19	12	12	3	2	6	6	1	3	19	
4999994	6	5	5	2	1	2	2	0	2	6	
5000000	0	0	0	0	0	0	0	0	0	0	
4999994	6	6	6	1	0	5	5	0	5	6	
4999999	1	1	1	0	0	1	1	0	0	1	
4999993	7	5	5	0	0	2	2	0	2	7	
5000000	0	0	0	0	0	0	0	0	0	0	
4999995	5	4	4	1	1	2	2	1	1	5	
4999992	8	7	7	1	1	5	5	1	4	8	
5000000	0	0	0	0	0	0	0	0	0	0	
4999996	4	4	4	2	1	1	1	0	1	4	
4999982	18	16	16	2	1	13	13	1	13	18	
4999998	2	1	1	0	0	0	0	0	0	2	
4999997	3	2	2	2	1	0	0	1	1	3	
4999998	2	1	1	1	0	0	0	0	0	2	
4999996	4	3	3	1	1	2	2	1	1	4	
4999993	7	6	6	2	1	3	3	0	4	7	
4999982	18	16	16	2	1	13	13	1	13	18	
4999996	4	4	4	1	0	3	3	0	3	4	
4999973	27	22	22	1	1	19	19	1	17	27	
5000000	0	0	0	0	0	0	0	0	0	0	
4999989	11	9	9	0	0	9	9	0	5	11	
4999999	1	1	1	0	0	0	0	0	0	1	
4999994	6	4	4	0	0	3	3	0	3	6	
4999988	12	11	11	1	0	7	7	0	6	12	
4999994	6	4	4	1	1	3	3	1	1	6	
4999998	2	1	1	1	1	0	0	0	0	2	
4999993	7	7	7	1	1	6	6	0	5	7	
5000000	0	0	0	0	0	0	0	0	0	0	
4999993	7	6	6	1	1	3	3	1	1	7	
4999997	3	3	3	1	1	1	1	0	0	3	
4999998	2	2	2	1	1	0	0	0	0	2	
4999994	6	6	6	2	1	2	2	0	2	6	
4999987	13	11	11	2	2	7	7	2	8	13	
4999991	9	7	7	1	1	5	5	0	3	9	
4999981	19	13	13	3	0	3	3	0	3	19	
4999930	70	47	47	9	1	27	27	0	24	70	
5000000	0	0	0	0	0	0	0	0	0	0	
4999998	2	1	1	0	0	1	1	0	0	2	
4999998	2	2	2	0	0	1	1	0	1	2	
5000000	0	0	0	0	0	0	0	0	0	0	
4999995	5	4	4	1	1	3	3	0	2	5	
4999983	17	12	12	0	0	9	9	0	6	17	
4999988	12	12	12	2	1	10	10	0	11	12	
4999997	3	2	2	1	0	1	1	0	1	3	
4999974	26	16	16	2	2	9	9	2	9	26	
4999951	49	41	41	3	2	30	30	2	28	49	
4999993	7	5	5	1	1	3	3	1	3	7	
5000000	0	0	0	0	0	0	0	0	0	0	
4999994	6	4	4	1	1	3	3	0	1	6	
4999923	77	45	45	5	1	28	28	1	19	77	
4999991	9	8	8	1	0	7	7	0	6	9	
4999989	11	11	11	1	1	10	10	1	9	11	
4999999	1	1	1	0	0	1	1	0	0	1	
4999987	13	13	13	2	2	9	9	0	9	13	
