S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
9999975	25	22	22	6	4	13	13	3	12	25	
9999970	30	26	26	6	4	17	17	3	16	30	
9999963	37	34	34	3	3	28	28	1	23	37	
9999955	45	36	36	4	2	28	28	2	24	45	
9999985	15	12	12	2	2	8	8	2	7	15	
9999987	13	11	11	2	1	7	7	1	7	13	
9999994	6	5	5	2	2	3	3	2	1	6	
9999991	9	6	6	3	3	2	2	1	3	9	
9999989	11	9	9	2	2	6	6	1	5	11	
9999984	16	14	14	2	2	10	10	1	10	16	
9999995	5	3	3	2	1	1	1	1	1	5	
9999985	15	15	15	2	2	7	7	2	5	15	
9999987	13	12	12	3	2	8	8	1	4	13	
9999988	12	5	5	2	2	2	2	2	1	12	
9999985	15	10	10	3	2	7	7	2	6	15	
9999941	59	56	56	9	6	43	43	5	43	59	
9999984	16	15	15	2	2	11	11	2	11	16	
9999969	31	26	26	4	3	22	22	3	23	31	
9999989	11	9	9	2	2	6	6	1	5	11	
9999969	31	30	30	6	4	23	23	3	22	31	
9999965	35	29	29	6	4	20	20	3	18	35	
9999972	28	24	24	3	3	19	19	2	17	28	
9999979	21	20	20	4	2	14	14	1	14	21	
9999990	10	10	10	2	2	7	7	2	5	10	
9999994	6	4	4	2	2	2	2	1	2	6	
9999977	23	21	21	2	2	18	18	1	18	23	
9999982	18	16	16	3	3	13	13	1	10	18	
9999964	36	32	32	4	3	27	27	1	26	36	
9999974	26	20	20	3	3	12	12	1	7	26	
9999979	21	18	18	2	2	11	11	2	10	21	
9999977	23	21	21	5	4	14	14	3	13	23	
9999991	9	7	7	2	2	5	5	1	3	9	
9999977	23	20	20	5	4	12	12	3	11	23	
9999985	15	14	14	4	2	8	8	2	9	15	
9999980	20	14	14	4	2	10	10	2	10	20	
9999983	17	15	15	3	3	10	10	2	8	17	
9999990	10	8	8	2	2	4	4	1	2	10	
9999970	30	23	23	3	2	17	17	1	14	30	
9999871	129	104	104	10	3	69	69	3	57	129	
9999966	34	21	21	6	3	12	12	2	13	34	
9999994	6	4	4	2	2	2	2	2	2	6	
9999993	7	6	6	2	2	4	4	2	3	7	
9999966	34	29	29	3	3	24	24	2	23	34	
9999979	21	19	19	2	2	15	15	1	15	21	
9999985	15	15	15	2	2	13	13	2	12	15	
9999962	38	30	30	4	4	23	23	2	22	38	
9999974	26	17	17	5	4	12	12	2	11	26	
9999982	18	16	16	2	2	13	13	1	12	18	
9999989	11	10	10	2	2	7	7	1	7	11	
9999959	41	32	32	4	3	23	23	2	20	41	
9999988	12	11	11	3	1	8	8	1	8	12	
9999964	36	34	34	4	2	29	29	2	30	36	
9999971	29	26	26	6	5	18	18	4	14	29	
9999961	39	32	32	5	2	25	25	2	26	39	
9999955	45	32	32	6	4	17	17	2	14	45	
9999965	35	32	32	2	2	28	28	2	23	35	
9999939	61	33	33	4	3	15	15	3	11	61	
9999990	10	9	9	3	2	3	3	1	4	10	
9999934	66	38	38	2	2	22	22	2	18	66	
9999923	77	49	49	6	4	31	31	2	21	77	
9999991	9	5	5	4	3	1	1	1	1	9	
9999954	46	38	38	7	6	26	26	2	23	46	
9999985	15	12	12	4	2	8	8	2	4	15	
9999940	60	58	58	12	6	45	45	6	54	60	
9999960	40	33	33	3	3	23	23	2	24	40	
9999954	46	34	34	6	4	21	21	3	16	46	
9999959	41	39	39	4	3	35	35	3	34	41	
9999910	90	87	87	14	7	70	70	7	80	90	
9999989	11	10	10	3	2	6	6	2	5	11	
9999968	32	32	32	4	3	27	27	3	27	32	
9999959	41	33	33	6	4	22	22	4	17	41	
9999815	185	83	83	8	2	31	31	1	15	185	
9999981	19	17	17	4	3	9	9	3	6	19	
9999364	636	405	405	34	10	230	230	7	133	636	
9999974	26	19	19	3	2	12	12	1	8	26	
9999972	28	20	20	4	3	9	9	1	9	28	
9999965	35	33	33	4	3	28	28	3	27	35	
9999982	18	12	12	3	2	5	5	2	3	18	
9999955	45	38	38	6	4	29	29	3	25	45	
9999953	47	42	42	8	3	30	30	2	33	47	
9999973	27	18	18	6	2	10	10	1	9	27	
9999966	34	32	32	3	2	22	22	1	18	34	
9999894	106	74	74	11	8	46	46	2	31	106	
9999968	32	27	27	5	2	18	18	1	17	32	
9999315	685	439	439	45	10	265	265	5	177	685	
9999569	431	231	231	18	8	118	118	2	54	431	
9999800	200	147	147	15	5	102	102	2	85	200	
9999985	15	12	12	3	2	6	6	1	3	15	
9999976	24	20	20	4	1	12	12	1	12	24	
9999985	15	11	11	2	2	8	8	0	5	15	
9999146	854	403	403	26	8	177	177	4	103	854	
9999967	33	24	24	4	1	18	18	1	12	33	
9999964	36	31	31	2	2	22	22	1	20	36	
9999980	20	16	16	3	3	10	10	2	8	20	
9999965	35	26	26	4	3	18	18	1	13	35	
9999981	19	13	13	4	3	7	7	3	6	19	
9999966	34	29	29	4	4	24	24	3	22	34	
9999973	27	20	20	4	3	12	12	2	6	27	
9999806	194	87	87	10	3	54	54	2	54	194	
9997534	2466	1307	1307	135	37	663	663	19	395	2466	
9999985	15	15	15	4	2	7	7	1	8	15	
9999983	17	16	16	3	2	13	13	2	12	17	
9999978	22	18	18	5	2	11	11	1	7	22	
9999948	52	45	45	3	2	32	32	2	28	52	
9999987	13	11	11	3	3	8	8	1	7	13	
9999954	46	30	30	3	3	19	19	2	19	46	
9999988	12	9	9	4	2	3	3	1	4	12	
9999971	29	22	22	6	3	13	13	1	14	29	
9999983	17	12	12	4	2	7	7	1	7	17	
9999929	71	64	64	12	5	50	50	5	60	71	
9999942	58	50	50	9	4	36	36	4	36	58	
9999867	133	80	80	8	5	43	43	3	36	133	
9999968	32	23	23	2	2	18	18	2	14	32	
9999977	23	21	21	3	2	17	17	2	17	23	
9999980	20	18	18	5	1	11	11	1	12	20	
9999988	12	11	11	2	2	9	9	2	8	12	
9999991	9	6	6	2	1	3	3	1	1	9	
9999978	22	18	18	5	3	11	11	2	10	22	
9999988	12	10	10	2	2	8	8	1	9	12	
9999992	8	8	8	3	2	4	4	1	4	8	
9999934	66	41	41	5	3	24	24	2	14	66	
9999978	22	17	17	2	2	11	11	2	7	22	
9999981	19	16	16	4	4	12	12	2	12	19	
9999929	71	44	44	9	4	25	25	2	26	71	
9999968	32	29	29	8	2	18	18	2	22	32	
9999981	19	18	18	4	2	13	13	2	15	19	
9999942	58	42	42	7	2	24	24	1	22	58	
9999981	19	16	16	3	2	11	11	1	6	19	
9999953	47	41	41	4	4	24	24	3	22	47	
9999975	25	18	18	3	2	11	11	1	12	25	
9999989	11	9	9	2	2	5	5	1	5	11	
