S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
4999998	2	1	1	0	0	0	0	0	0	2	
4999999	1	1	1	0	0	0	0	0	0	1	
4999998	2	2	2	1	0	1	1	0	1	2	
4999998	2	2	2	1	0	0	0	0	0	2	
4999943	57	56	56	11	5	45	45	5	53	57	
4999998	2	1	1	1	0	0	0	0	0	2	
4999996	4	3	3	1	0	2	2	0	2	4	
4999993	7	4	4	0	0	3	3	0	1	7	
5000000	0	0	0	0	0	0	0	0	0	0	
4999997	3	1	1	0	0	1	1	0	0	3	
4999998	2	2	2	0	0	1	1	0	1	2	
4999987	13	12	12	3	0	8	8	0	10	13	
4999991	9	7	7	2	2	4	4	0	2	9	
4999998	2	2	2	0	0	1	1	0	0	2	
4999997	3	2	2	1	1	1	1	0	1	3	
4999999	1	1	1	0	0	0	0	0	0	1	
4999996	4	4	4	1	1	3	3	0	3	4	
4999994	6	3	3	0	0	3	3	0	3	6	
5000000	0	0	0	0	0	0	0	0	0	0	
4999990	10	7	7	0	0	5	5	0	3	10	
4999840	160	76	76	6	2	24	24	2	16	160	
4999990	10	7	7	0	0	5	5	0	5	10	
4999999	1	1	1	0	0	0	0	0	0	1	
4999996	4	4	4	1	1	0	0	0	0	4	
4999995	5	4	4	2	0	2	2	0	1	5	
5000000	0	0	0	0	0	0	0	0	0	0	
4999992	8	8	8	0	0	7	7	0	5	8	
4999977	23	17	17	2	2	8	8	1	7	23	
4999975	25	15	15	3	2	5	5	1	6	25	
5000000	0	0	0	0	0	0	0	0	0	0	
4999998	2	2	2	0	0	1	1	0	0	2	
4999994	6	5	5	3	2	2	2	1	3	6	
4999999	1	1	1	1	0	0	0	0	0	1	
4999987	13	11	11	2	1	9	9	1	9	13	
4999988	12	9	9	1	0	8	8	0	8	12	
4999962	38	34	34	6	2	26	26	2	28	38	
5000000	0	0	0	0	0	0	0	0	0	0	
4999996	4	3	3	1	0	1	1	0	1	4	
4999988	12	12	12	1	1	11	11	0	10	12	
4999997	3	2	2	0	0	2	2	0	2	3	
4999995	5	4	4	0	0	2	2	0	2	5	
4999992	8	7	7	2	1	4	4	0	5	8	
4999999	1	1	1	0	0	0	0	0	0	1	
5000000	0	0	0	0	0	0	0	0	0	0	
4999937	63	20	20	1	0	4	4	0	1	63	
4999997	3	3	3	1	0	1	1	0	2	3	
4999981	19	18	18	2	1	15	15	1	15	19	
4999959	41	36	36	5	3	29	29	2	25	41	
4999992	8	7	7	1	1	6	6	1	3	8	
4999999	1	1	1	0	0	0	0	0	0	1	
4999991	9	3	3	1	0	1	1	0	0	9	
4999994	6	5	5	1	1	4	4	1	3	6	
4999984	16	16	16	3	1	12	12	1	11	16	
4999996	4	2	2	1	0	1	1	0	1	4	
4999997	3	2	2	0	0	1	1	0	0	3	
4999997	3	3	3	0	0	1	1	0	0	3	
5000000	0	0	0	0	0	0	0	0	0	0	
4999995	5	4	4	1	1	3	3	0	2	5	
4999998	2	1	1	0	0	1	1	0	0	2	
4999996	4	3	3	1	0	2	2	0	2	4	
4999999	1	1	1	1	1	0	0	0	0	1	
4999975	25	25	25	3	1	21	21	1	21	25	
4999999	1	1	1	0	0	1	1	0	0	1	
4999998	2	1	1	0	0	0	0	0	0	2	
4999995	5	5	5	2	1	2	2	0	2	5	
4999996	4	3	3	1	1	2	2	1	0	4	
4999985	15	12	12	0	0	10	10	0	8	15	
4999999	1	1	1	1	1	0	0	0	0	1	
4999999	1	1	1	1	1	0	0	0	0	1	
4999993	7	5	5	0	0	3	3	0	2	7	
4999994	6	6	6	1	0	5	5	0	5	6	
4999992	8	6	6	3	2	3	3	2	5	8	
4999971	29	28	28	6	2	21	21	0	23	29	
4999975	25	25	25	3	1	20	20	1	21	25	
4999993	7	7	7	2	0	4	4	0	3	7	
4999990	10	8	8	1	1	2	2	0	2	10	
4999996	4	3	3	0	0	2	2	0	2	4	
4999994	6	5	5	1	1	4	4	1	4	6	
4999999	1	1	1	1	0	0	0	0	0	1	
