S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
4999970	30	19	19	5	2	9	9	1	9	30	
4999959	41	29	29	4	1	14	14	1	13	41	
4999976	24	13	13	3	3	7	7	1	4	24	
4999984	16	11	11	4	2	5	5	1	4	16	
4999984	16	12	12	1	1	8	8	1	8	16	
4999972	28	23	23	4	2	13	13	1	14	28	
4999187	813	547	547	67	26	342	342	15	300	813	
4999993	7	6	6	1	1	5	5	1	4	7	
4999987	13	7	7	1	1	4	4	1	2	13	
4999678	322	168	168	16	1	91	91	1	53	322	
4999990	10	5	5	1	1	3	3	0	1	10	
4999986	14	11	11	1	1	6	6	1	5	14	
4999989	11	8	8	2	1	4	4	1	3	11	
4999991	9	8	8	1	1	6	6	1	6	9	
4999978	22	14	14	4	1	8	8	1	9	22	
4999965	35	34	34	5	1	29	29	1	30	35	
4998394	1606	978	978	99	21	543	543	10	371	1606	
4999810	190	93	93	6	1	42	42	1	28	190	
4999964	36	33	33	3	1	28	28	1	29	36	
4999950	50	33	33	5	1	19	19	1	17	50	
4999995	5	4	4	2	1	2	2	1	2	5	
4999960	40	26	26	5	2	12	12	1	6	40	
4999983	17	10	10	2	1	3	3	1	4	17	
4999995	5	4	4	2	1	2	2	1	2	5	
4999876	124	92	92	13	2	56	56	1	45	124	
4999977	23	17	17	2	1	9	9	0	7	23	
4998928	1072	587	587	54	16	298	298	6	186	1072	
4999755	245	113	113	8	4	54	54	2	30	245	
4941262	58738	38412	38412	4011	1265	22599	22599	436	15564	58738	
4999658	342	237	237	19	3	150	150	0	108	342	
4999768	232	144	144	17	3	88	88	1	56	232	
4999913	87	66	66	8	4	48	48	4	39	87	
4999936	64	32	32	3	1	15	15	1	5	64	
4999799	201	133	133	16	4	83	83	1	64	201	
4999549	451	276	276	27	7	154	154	1	86	451	
4999169	831	587	587	66	21	341	341	7	259	831	
4999968	32	14	14	2	1	6	6	1	4	32	
4999986	14	14	14	2	2	10	10	2	8	14	
4999977	23	20	20	4	2	13	13	2	15	23	
4999971	29	19	19	5	1	6	6	1	4	29	
4999985	15	13	13	4	2	6	6	2	8	15	
4999992	8	6	6	2	1	3	3	1	3	8	
4999977	23	16	16	2	1	8	8	1	5	23	
4999949	51	50	50	6	3	42	42	3	42	51	
4999309	691	436	436	41	17	279	279	6	203	691	
4999993	7	6	6	1	1	5	5	1	5	7	
4999978	22	17	17	1	1	10	10	1	6	22	
4999974	26	26	26	3	2	23	23	2	23	26	
4999993	7	7	7	3	1	4	4	1	4	7	
4981847	18153	11480	11480	1132	339	6661	6661	126	4386	18153	
4999962	38	26	26	6	2	11	11	1	9	38	
4999991	9	9	9	3	1	4	4	1	4	9	
4999996	4	4	4	1	1	2	2	1	2	4	
4999993	7	6	6	2	1	3	3	1	4	7	
4998202	1798	921	921	72	16	413	413	3	216	1798	
4999985	15	11	11	1	1	10	10	1	11	15	
4999973	27	25	25	7	2	17	17	2	20	27	
4999969	31	14	14	1	1	8	8	1	7	31	
4999556	444	262	262	27	7	136	136	1	80	444	
4999991	9	5	5	2	2	3	3	1	1	9	
4999967	33	25	25	3	1	15	15	1	13	33	
4999960	40	36	36	6	1	25	25	1	23	40	
4999993	7	7	7	3	1	4	4	1	4	7	
4999993	7	6	6	1	1	5	5	1	5	7	
4999974	26	23	23	1	1	15	15	1	10	26	
4999992	8	5	5	1	1	2	2	1	1	8	
4999940	60	53	53	5	2	43	43	2	40	60	
4999985	15	12	12	2	1	7	7	1	6	15	
4999991	9	5	5	2	2	3	3	1	1	9	
4999622	378	263	263	38	13	163	163	5	123	378	
4999932	68	58	58	5	3	47	47	3	43	68	
4999994	6	4	4	2	2	1	1	0	0	6	
4999810	190	100	100	11	4	44	44	2	28	190	
4997772	2228	1455	1455	141	38	875	875	9	597	2228	
4999919	81	59	59	8	2	35	35	2	35	81	
4999906	94	67	67	9	3	40	40	2	32	94	
4999894	106	75	75	5	1	60	60	1	56	106	
4998193	1807	1062	1062	111	22	591	591	7	396	1807	
4999975	25	22	22	2	1	19	19	1	18	25	
4999988	12	10	10	2	2	7	7	2	6	12	
4999775	225	147	147	11	4	87	87	3	54	225	
4999979	21	18	18	2	1	13	13	1	12	21	
4996220	3780	2365	2365	236	73	1342	1342	29	819	3780	
4998601	1399	906	906	105	36	543	543	19	375	1399	
4999978	22	9	9	1	1	2	2	1	2	22	
4999979	21	19	19	3	1	14	14	1	15	21	
4999650	350	254	254	28	9	154	154	4	118	350	
4999994	6	5	5	2	1	1	1	1	2	6	
4999990	10	6	6	2	1	2	2	1	0	10	
4999994	6	6	6	2	1	2	2	1	3	6	
4999964	36	31	31	5	3	23	23	3	23	36	
4999889	111	86	86	9	3	65	65	2	53	111	
4999018	982	597	597	56	20	303	303	4	183	982	
4997559	2441	1277	1277	107	20	575	575	3	275	2441	
4999969	31	24	24	3	1	17	17	1	13	31	
4999968	32	28	28	4	1	22	22	1	21	32	
4999985	15	15	15	2	2	13	13	1	10	15	
4999993	7	6	6	1	1	5	5	1	5	7	
4999998	2	1	1	1	1	0	0	1	0	2	
4999992	8	6	6	1	1	4	4	1	3	8	
4999991	9	8	8	1	1	6	6	1	6	9	
4999993	7	6	6	1	1	5	5	1	4	7	
4999569	431	212	212	16	4	105	105	1	51	431	
4999978	22	13	13	1	1	8	8	1	6	22	
4999987	13	10	10	1	1	5	5	1	5	13	
4999980	20	18	18	3	2	14	14	1	15	20	
4999967	33	30	30	1	1	28	28	1	27	33	
4997819	2181	1283	1283	111	36	674	674	14	417	2181	
4999935	65	54	54	5	1	43	43	1	40	65	
4999986	14	13	13	2	1	11	11	1	12	14	
4999975	25	24	24	4	1	18	18	1	21	25	
4999974	26	17	17	3	1	7	7	0	8	26	
4999975	25	25	25	4	2	19	19	2	20	25	
4999626	374	220	220	21	7	126	126	4	87	374	
4999990	10	7	7	2	1	1	1	1	2	10	
4999964	36	27	27	4	1	17	17	1	16	36	
4999986	14	12	12	2	2	7	7	2	8	14	
4999978	22	17	17	2	2	14	14	2	13	22	
4999984	16	14	14	3	1	11	11	1	13	16	
4999978	22	12	12	1	1	7	7	1	1	22	
4999991	9	9	9	1	1	6	6	1	5	9	
4999984	16	14	14	2	1	11	11	1	11	16	
4999969	31	25	25	6	5	16	16	3	18	31	
4999984	16	16	16	1	1	13	13	1	13	16	
4999992	8	6	6	1	1	5	5	1	4	8	
4999968	32	31	31	4	1	22	22	1	23	32	
4999629	371	227	227	21	8	120	120	3	83	371	
4999989	11	8	8	2	1	4	4	1	3	11	
4997167	2833	1607	1607	133	34	885	885	9	576	2833	
4999970	30	29	29	2	2	24	24	2	24	30	
4999894	106	64	64	3	3	29	29	1	9	106	
4999981	19	16	16	3	2	10	10	1	7	19	
4999967	33	31	31	3	1	25	25	1	26	33	
4999927	73	59	59	5	1	43	43	1	36	73	
4998999	1001	472	472	43	10	204	204	4	107	1001	
4996730	3270	2018	2018	212	76	1211	1211	41	912	3270	
4999990	10	9	9	3	2	6	6	1	6	10	
4999885	115	70	70	9	2	44	44	1	43	115	
4999969	31	22	22	3	1	12	12	1	13	31	
4999997	3	2	2	1	1	1	1	1	2	3	
4832387	167613	121899	121899	13899	4751	78197	78197	2011	59732	167613	
4996868	3132	1791	1791	159	48	920	920	8	500	3132	
4999902	98	50	50	3	1	26	26	1	16	98	
4999916	84	62	62	5	3	41	41	1	32	84	
4999988	12	7	7	1	1	5	5	1	2	12	
4999942	58	47	47	8	2	33	33	2	29	58	
4999972	28	22	22	3	1	16	16	1	14	28	
4999989	11	9	9	2	1	6	6	1	6	11	
4999985	15	15	15	3	1	11	11	1	12	15	
4999969	31	13	13	2	1	7	7	1	4	31	
4999971	29	20	20	3	1	9	9	1	4	29	
4999986	14	13	13	2	1	10	10	1	10	14	
4999989	11	8	8	2	1	4	4	1	2	11	
4999834	166	117	117	15	6	64	64	4	55	166	
4999988	12	6	6	2	1	2	2	1	1	12	
4999859	141	99	99	9	5	53	53	2	32	141	
4999846	154	99	99	11	8	62	62	2	41	154	
4999934	66	46	46	4	1	29	29	1	20	66	
4999538	462	303	303	28	10	175	175	2	107	462	
4999656	344	241	241	32	8	152	152	3	114	344	
4999972	28	23	23	4	3	14	14	1	14	28	
4999966	34	29	29	4	2	23	23	2	25	34	
4999815	185	122	122	13	4	66	66	2	36	185	
4999970	30	23	23	3	1	14	14	1	10	30	
4999968	32	27	27	6	2	19	19	1	23	32	
4999997	3	3	3	1	1	1	1	1	2	3	
4999974	26	25	25	5	2	20	20	2	24	26	
4999957	43	24	24	2	1	14	14	1	10	43	
4999850	150	108	108	18	5	63	63	1	45	150	
4999953	47	27	27	6	2	14	14	1	8	47	
4999975	25	20	20	2	1	11	11	1	8	25	
4999936	64	62	62	11	5	50	50	5	60	64	
4999970	30	23	23	3	1	14	14	1	10	30	
4999327	673	388	388	27	8	170	170	2	100	673	
4991981	8019	4700	4700	452	138	2591	2591	39	1605	8019	
4999945	55	44	44	7	2	28	28	1	23	55	
4999990	10	5	5	2	1	1	1	1	2	10	
4999912	88	66	66	7	3	43	43	1	28	88	
4993927	6073	3568	3568	326	97	1902	1902	29	1216	6073	
4999960	40	26	26	5	2	12	12	1	6	40	
4999991	9	7	7	3	2	4	4	1	5	9	
4999978	22	16	16	1	1	11	11	1	10	22	
4999947	53	46	46	4	1	32	32	1	31	53	
4999961	39	32	32	5	3	26	26	3	26	39	
4999979	21	15	15	3	2	10	10	1	10	21	
4999980	20	12	12	1	1	8	8	1	4	20	
4999660	340	141	141	8	5	64	64	2	44	340	
4999961	39	28	28	3	3	19	19	2	15	39	
4999992	8	8	8	3	1	4	4	0	6	8	
4999977	23	19	19	3	1	13	13	1	11	23	
4999991	9	8	8	1	1	5	5	1	3	9	
4997212	2788	1703	1703	165	42	918	918	16	600	2788	
4999980	20	17	17	1	1	11	11	1	8	20	
4999661	339	198	198	23	5	109	109	3	82	339	
4999951	49	43	43	4	3	34	34	3	33	49	
4999977	23	20	20	5	1	14	14	1	15	23	
4999815	185	111	111	8	5	58	58	1	24	185	
4996494	3506	2043	2043	190	49	1118	1118	17	699	3506	
4999966	34	31	31	4	2	25	25	1	24	34	
4999992	8	8	8	3	1	4	4	0	6	8	
4999932	68	52	52	13	4	29	29	1	27	68	
4999973	27	22	22	4	2	17	17	2	14	27	
4999961	39	27	27	5	3	15	15	1	15	39	
4999576	424	228	228	29	7	108	108	1	54	424	
4999811	189	93	93	7	4	45	45	0	32	189	
4999992	8	7	7	2	2	3	3	2	3	8	
4999967	33	26	26	5	3	18	18	3	15	33	
4999879	121	77	77	10	4	45	45	2	27	121	
4999991	9	7	7	3	2	4	4	1	5	9	
