S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
4999922	78	64	64	8	4	48	48	4	43	78	
4993277	6723	4283	4283	440	141	2481	2481	56	1723	6723	
4999981	19	13	13	2	2	11	11	1	8	19	
4999775	225	168	168	18	6	111	111	3	91	225	
4991364	8636	5434	5434	515	160	3090	3090	67	2054	8636	
4996896	3104	1747	1747	164	48	906	906	16	554	3104	
4999939	61	45	45	11	7	30	30	5	30	61	
4996729	3271	2168	2168	243	75	1297	1297	30	896	3271	
4999940	60	46	46	4	3	33	33	3	31	60	
4986777	13223	7901	7901	748	235	4343	4343	74	2764	13223	
4980759	19241	11556	11556	1126	331	6407	6407	109	4134	19241	
4999765	235	157	157	21	8	84	84	6	57	235	
4999962	38	37	37	2	1	31	31	1	30	38	
4999807	193	100	100	11	3	50	50	2	34	193	
4999829	171	137	137	23	8	89	89	4	83	171	
4999713	287	196	196	21	6	129	129	3	96	287	
4999458	542	303	303	20	6	184	184	3	126	542	
4999757	243	184	184	21	6	101	101	2	72	243	
4999893	107	86	86	8	4	60	60	4	45	107	
4999943	57	53	53	7	5	41	41	5	44	57	
4994846	5154	3210	3210	309	87	1808	1808	42	1198	5154	
4976035	23965	15085	15085	1485	454	8684	8684	157	5748	23965	
4999968	32	23	23	3	1	15	15	1	10	32	
4999971	29	25	25	4	2	21	21	1	20	29	
4999976	24	24	24	4	2	16	16	1	18	24	
4998576	1424	772	772	55	13	386	386	4	226	1424	
4999245	755	564	564	69	23	367	367	8	287	755	
4907423	92577	64058	64058	6898	2240	39598	39598	844	28569	92577	
4999075	925	578	578	52	15	341	341	6	213	925	
4999933	67	42	42	7	3	25	25	2	21	67	
4999322	678	406	406	43	16	227	227	10	168	678	
4998960	1040	583	583	56	17	285	285	8	176	1040	
4999929	71	54	54	5	4	39	39	4	29	71	
4999797	203	136	136	14	3	80	80	2	65	203	
4982799	17201	10435	10435	1053	297	5690	5690	98	3693	17201	
4999980	20	16	16	1	1	10	10	1	9	20	
4997419	2581	1386	1386	101	18	676	676	7	399	2581	
4999874	126	70	70	8	3	42	42	1	28	126	
4999971	29	24	24	5	3	15	15	2	15	29	
4999964	36	35	35	5	1	26	26	1	30	36	
4993233	6767	4016	4016	404	121	2138	2138	44	1311	6767	
4919020	80980	55108	55108	6017	1960	33210	33210	713	23658	80980	
4456130	543870	452435	452435	57679	22988	326449	326449	12316	286619	543870	
4999776	224	185	185	27	8	126	126	4	111	224	
4999661	339	237	237	27	11	166	166	6	138	339	
4988631	11369	7030	7030	689	211	4004	4004	76	2692	11369	
4999942	58	45	45	4	2	34	34	1	30	58	
4999727	273	166	166	11	5	112	112	2	83	273	
4999676	324	205	205	23	10	115	115	5	85	324	
4999953	47	30	30	5	3	20	20	1	19	47	
4999410	590	428	428	43	14	286	286	5	241	590	
4999931	69	52	52	9	3	36	36	2	35	69	
4999718	282	212	212	29	11	142	142	7	144	282	
4999946	54	32	32	5	2	16	16	2	14	54	
4999770	230	154	154	15	8	114	114	4	95	230	
4998653	1347	838	838	87	27	467	467	11	321	1347	
4993975	6025	3923	3923	429	142	2254	2254	52	1553	6025	
4999967	33	28	28	5	1	21	21	1	20	33	
4991555	8445	5062	5062	488	152	2736	2736	47	1700	8445	
4998445	1555	953	953	92	28	532	532	7	327	1555	
4999823	177	144	144	21	9	107	107	5	98	177	
4999976	24	21	21	4	2	15	15	1	17	24	
4993975	6025	3923	3923	429	142	2254	2254	52	1553	6025	
4998394	1606	978	978	99	21	543	543	10	371	1606	
4999921	79	63	63	6	3	47	47	3	47	79	
4999586	414	271	271	33	9	143	143	3	107	414	
4980663	19337	12261	12261	1220	362	7086	7086	149	4903	19337	
4999827	173	90	90	10	8	43	43	3	20	173	
4997380	2620	1533	1533	150	43	807	807	12	513	2620	
4999961	39	37	37	5	2	28	28	1	30	39	
4999483	517	360	360	45	20	228	228	11	183	517	
4999931	69	52	52	4	3	35	35	1	29	69	
4999897	103	72	72	9	4	46	46	2	35	103	
4999968	32	26	26	2	1	16	16	1	14	32	
4999968	32	30	30	6	5	23	23	4	24	32	
4999823	177	105	105	14	6	63	63	2	42	177	
4999097	903	433	433	43	14	209	209	3	107	903	
4999267	733	409	409	37	14	218	218	7	154	733	
4989476	10524	6741	6741	693	205	3982	3982	87	2751	10524	
4994888	5112	3131	3131	325	110	1760	1760	54	1198	5112	
4994291	5709	3271	3271	311	94	1713	1713	34	1076	5709	
4957820	42180	27317	27317	2730	875	16223	16223	325	11144	42180	
4999911	89	59	59	12	6	27	27	3	18	89	
4990252	9748	6091	6091	672	205	3539	3539	71	2476	9748	
4999629	371	226	226	31	9	139	139	4	114	371	
4999977	23	20	20	3	1	14	14	1	11	23	
4999944	56	43	43	7	2	25	25	2	27	56	
4915146	84854	58012	58012	6310	2083	35440	35440	775	25495	84854	
4999965	35	25	25	5	2	13	13	1	15	35	
4999898	102	70	70	9	4	44	44	2	33	102	
4981115	18885	12044	12044	1282	413	7087	7087	146	4967	18885	
4943417	56583	37700	37700	4023	1331	22567	22567	500	15793	56583	
4999817	183	134	134	19	9	86	86	5	74	183	
4942330	57670	38224	38224	4033	1254	22570	22570	455	15405	57670	
4929031	70969	47462	47462	4933	1592	28509	28509	632	20085	70969	
4992032	7968	4944	4944	494	138	2850	2850	54	1947	7968	
4999736	264	148	148	12	4	68	68	2	37	264	
4999759	241	185	185	20	8	139	139	3	115	241	
4997345	2655	1459	1459	143	34	725	725	9	445	2655	
4999659	341	227	227	30	11	138	138	6	115	341	
4999606	394	255	255	31	17	164	164	9	117	394	
4990027	9973	6022	6022	604	168	3276	3276	45	2094	9973	
4996399	3601	2225	2225	206	68	1237	1237	23	782	3601	
4971005	28995	18052	18052	1762	512	10115	10115	178	6596	28995	
4999471	529	327	327	40	16	180	180	6	136	529	
4999970	30	22	22	6	5	16	16	3	17	30	
4999971	29	26	26	5	2	20	20	1	21	29	
4999673	327	231	231	28	11	138	138	4	102	327	
4992995	7005	4295	4295	426	114	2401	2401	44	1509	7005	
4976130	23870	15024	15024	1558	482	8648	8648	171	5818	23870	
4996567	3433	2061	2061	223	67	1134	1134	21	680	3433	
4950323	49677	32702	32702	3338	1047	19311	19311	405	13338	49677	
4994433	5567	3105	3105	268	73	1627	1627	26	895	5567	
4999578	422	303	303	44	16	197	197	7	161	422	
4999941	59	50	50	6	2	42	42	1	39	59	
4998082	1918	1202	1202	129	37	701	701	18	519	1918	
4987690	12310	7510	7510	696	199	4153	4153	70	2635	12310	
4998945	1055	716	716	73	22	447	447	7	290	1055	
4999153	847	616	616	66	20	399	399	10	311	847	
4997419	2581	1386	1386	101	18	676	676	7	399	2581	
4988672	11328	6987	6987	753	231	3848	3848	77	2563	11328	
4997840	2160	1189	1189	125	36	643	643	17	436	2160	
4999379	621	425	425	52	23	278	278	11	200	621	
4997066	2934	1841	1841	191	66	1048	1048	39	792	2934	
4991735	8265	5368	5368	585	185	3134	3134	72	2177	8265	
4999967	33	29	29	6	4	23	23	2	24	33	
4999928	72	54	54	7	4	37	37	3	32	72	
4999862	138	106	106	17	10	72	72	7	59	138	
4999892	108	93	93	10	7	67	67	3	57	108	
4998790	1210	756	756	65	14	448	448	8	332	1210	
4999737	263	189	189	22	8	122	122	6	96	263	
4999762	238	180	180	26	8	121	121	3	95	238	
4996178	3822	2359	2359	217	60	1278	1278	17	815	3822	
4977418	22582	14144	14144	1452	442	7945	7945	157	5252	22582	
4999941	59	57	57	11	6	43	43	4	46	59	
4999823	177	88	88	5	1	49	49	1	44	177	
4999977	23	18	18	2	2	15	15	2	15	23	
4997199	2801	1732	1732	178	59	1013	1013	23	668	2801	
4999963	37	33	33	2	1	28	28	1	28	37	
4999953	47	40	40	6	4	31	31	3	28	47	
4999421	579	384	384	42	16	233	233	9	173	579	
4999976	24	21	21	2	2	18	18	2	16	24	
4999881	119	83	83	12	6	54	54	5	49	119	
4999147	853	411	411	39	9	174	174	6	100	853	
4998337	1663	1007	1007	110	33	534	534	14	360	1663	
4999890	110	93	93	14	5	68	68	3	68	110	
4999664	336	215	215	27	9	128	128	4	94	336	
4999776	224	186	186	21	6	139	139	2	132	224	
4999944	56	46	46	10	6	30	30	5	34	56	
4993391	6609	4308	4308	405	141	2623	2623	66	1841	6609	
4999779	221	152	152	15	7	107	107	5	82	221	
4999443	557	348	348	34	12	179	179	6	116	557	
4943049	56951	38048	38048	3980	1257	22851	22851	462	15985	56951	
4999963	37	34	34	8	5	24	24	3	26	37	
4998412	1588	1003	1003	94	33	629	629	13	456	1588	
4989433	10567	6605	6605	681	192	3704	3704	72	2412	10567	
4996802	3198	1845	1845	181	49	1006	1006	17	578	3198	
4976275	23725	14965	14965	1521	488	8697	8697	188	6021	23725	
4998429	1571	942	942	81	16	558	558	8	386	1571	
4958887	41113	26302	26302	2687	826	15059	15059	280	10049	41113	
4989766	10234	6122	6122	618	174	3364	3364	50	2191	10234	
4850797	149203	107075	107075	12087	4216	68049	68049	1774	51485	149203	
4998881	1119	722	722	83	26	396	396	11	278	1119	
4999545	455	225	225	26	11	94	94	2	55	455	
4858089	141911	100914	100914	11184	3842	63898	63898	1507	47478	141911	
4999952	48	42	42	3	2	35	35	1	31	48	
4980651	19349	11921	11921	1166	345	6733	6733	118	4486	19349	
4999782	218	149	149	11	3	99	99	2	78	218	
4998682	1318	843	843	73	20	496	496	6	340	1318	
4994822	5178	3096	3096	295	105	1803	1803	54	1269	5178	
4994147	5853	3750	3750	372	112	2193	2193	41	1484	5853	
