BEASTGeneration	BEASTtmrca	FavitesSim	TimeToCoal	TimeToCase	DateOfIndexCase	TimeToHosp	IndexAtCoalescent
25000	2019.9221857614446	1088	0.057309	0.019588	2019.8648767614445	0.090529	0
50000	2019.9315563837424	0284	0.066373	0.042588	2019.8651833837423	0.051666	0
75000	2019.9336252691892	0167	0.0014420000000000001	0.001911	2019.9321832691892	0.02088	0
100000	2019.9092207368024	0174	0.026453	0.04856	2019.8827677368024	0.055655	0
125000	2019.898355290907	0147	0.012722999999999998	0.052296	2019.8856322909069	0.067583	0
150000	2019.9280811770316	0496	0.023829999999999997	0.018314	2019.9042511770315	0.049135	0
175000	2019.9160910101712	0932	0.008471999999999999	0.01388	2019.9076190101712	0.044994	0
200000	2019.894455129175	0783	0.106106	0.037585	2019.788349129175	0.083589	0
225000	2019.9194879493061	0457	0.12240600000000001	0.008327	2019.7970819493062	0.04709	0
250000	2019.9320250010157	0911	0.111763	0.030347	2019.8202620010156	0.112436	0
275000	2019.9319329873495	0899	0.09219000000000001	0.002791	2019.8397429873494	0.061116	0
300000	2019.9264095032202	0082	0.08133599999999999	0.010255	2019.8450735032202	0.087764	0
325000	2019.933730895614	0321	0.04737699999999999	0.023365	2019.8863538956139	0.061122	0
350000	2019.939172496183	0472	0.000931	0.002257	2019.9382414961829	0.017072	0
375000	2019.923277515979	0229	0.09175	0.000555	2019.831527515979	0.049557	0
400000	2019.9332854039474	0148	5.8e-05	0.000788	2019.9332274039473	0.015713	0
425000	2019.9317530886963	0691	0.086429	0.042718	2019.8453240886963	0.064846	0
450000	2019.946520984449	0157	0.100354	0.034878	2019.8461669844492	0.07597	0
475000	2019.9505261793404	0836	0.061302	0.040441	2019.8892241793403	0.060668	0
500000	2019.9104006673724	0954	0.12503299999999998	0.056529	2019.7853676673724	0.075266	0
525000	2019.9158998049452	0894	5.8e-05	0.015741	2019.915841804945	0.030028	0
550000	2019.9205763235304	0548	0.0030589999999999997	0.000632	2019.9175173235305	0.003704	0
575000	2019.94733753113	0506	0.017609	0.004341	2019.92972853113	0.014781	0
