S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
4999995	5	2	2	1	0	1	1	0	1	5	
4999997	3	1	1	0	0	1	1	0	1	3	
4999997	3	3	3	1	1	1	1	0	1	3	
4999997	3	3	3	2	1	1	1	0	2	3	
4999939	61	58	58	11	5	47	47	5	56	61	
4999998	2	2	2	2	1	0	0	0	1	2	
4999996	4	4	4	1	1	2	2	0	2	4	
4999989	11	8	8	0	0	5	5	0	4	11	
4999999	1	1	1	1	0	0	0	0	0	1	
4999995	5	5	5	2	0	2	2	0	2	5	
4999997	3	3	3	1	1	2	2	0	1	3	
4999987	13	13	13	3	0	9	9	0	10	13	
4999983	17	15	15	2	2	11	11	1	8	17	
4999998	2	2	2	1	1	1	1	0	0	2	
4999990	10	6	6	2	1	2	2	0	2	10	
4999993	7	2	2	0	0	2	2	0	0	7	
4999995	5	4	4	1	1	3	3	0	3	5	
4999993	7	7	7	1	0	4	4	0	5	7	
4999998	2	1	1	1	0	0	0	0	0	2	
4999987	13	10	10	1	0	6	6	0	6	13	
4999526	474	293	293	29	8	176	176	2	92	474	
4999984	16	11	11	0	0	7	7	0	5	16	
4999994	6	2	2	0	0	2	2	0	2	6	
4999994	6	4	4	2	1	2	2	1	3	6	
4999992	8	7	7	3	0	3	3	0	4	8	
5000000	0	0	0	0	0	0	0	0	0	0	
4999991	9	9	9	1	1	8	8	0	7	9	
4999958	42	32	32	6	3	20	20	2	17	42	
4999949	51	33	33	4	2	25	25	2	15	51	
4999999	1	1	1	0	0	0	0	0	0	1	
4999998	2	2	2	0	0	1	1	0	1	2	
4999993	7	6	6	3	2	3	3	1	4	7	
4999997	3	2	2	1	0	1	1	0	1	3	
4999983	17	13	13	2	1	11	11	1	11	17	
4999985	15	14	14	2	0	10	10	0	9	15	
4999956	44	42	42	8	2	31	31	2	33	44	
4999998	2	1	1	1	0	0	0	0	0	2	
4999995	5	4	4	1	1	2	2	0	2	5	
4999984	16	15	15	2	1	11	11	1	11	16	
4999997	3	3	3	1	1	2	2	0	2	3	
4999994	6	5	5	1	0	2	2	0	2	6	
4999983	17	13	13	3	1	7	7	1	7	17	
4999998	2	2	2	0	0	0	0	0	0	2	
4999996	4	2	2	0	0	1	1	0	1	4	
4999469	531	231	231	21	5	91	91	2	47	531	
4999994	6	5	5	1	0	3	3	0	3	6	
4999979	21	20	20	2	1	17	17	1	17	21	
4999957	43	41	41	5	3	34	34	2	34	43	
4999991	9	8	8	1	1	6	6	1	5	9	
4999998	2	1	1	0	0	1	1	0	0	2	
4999963	37	27	27	3	0	13	13	0	3	37	
4999992	8	8	8	1	1	4	4	1	3	8	
4999981	19	17	17	3	1	13	13	1	13	19	
4999993	7	5	5	1	1	3	3	0	3	7	
4999995	5	4	4	0	0	3	3	0	2	5	
4999995	5	4	4	0	0	3	3	0	2	5	
4999998	2	1	1	0	0	0	0	0	0	2	
4999994	6	5	5	2	1	3	3	1	2	6	
4999998	2	2	2	0	0	1	1	0	0	2	
4999996	4	4	4	1	1	2	2	0	2	4	
4999998	2	2	2	1	1	1	1	0	1	2	
4999973	27	27	27	3	2	22	22	2	23	27	
4999997	3	2	2	1	0	1	1	0	1	3	
4999997	3	2	2	1	1	0	0	0	0	3	
4999995	5	5	5	2	1	2	2	1	3	5	
4999994	6	5	5	1	1	3	3	1	1	6	
4999984	16	14	14	1	1	12	12	0	11	16	
4999996	4	3	3	1	1	2	2	1	1	4	
4999998	2	2	2	1	1	0	0	0	0	2	
4999987	13	11	11	1	1	7	7	0	6	13	
4999993	7	7	7	1	1	6	6	0	5	7	
4999992	8	6	6	3	2	3	3	2	5	8	
4999968	32	29	29	6	2	22	22	1	25	32	
4999973	27	27	27	3	2	22	22	1	23	27	
4999992	8	7	7	3	1	4	4	1	4	8	
4999983	17	13	13	2	1	9	9	0	6	17	
4999992	8	5	5	0	0	4	4	0	3	8	
4999994	6	6	6	1	1	4	4	1	4	6	
4999999	1	1	1	1	1	0	0	0	0	1	
4999994	6	5	5	1	0	3	3	0	1	6	
4999998	2	1	1	0	0	1	1	0	0	2	
4999983	17	12	12	2	1	7	7	0	4	17	
4999941	59	57	57	11	5	46	46	5	54	59	
4999994	6	5	5	0	0	2	2	0	2	6	
4999986	14	7	7	1	1	2	2	0	2	14	
4999992	8	7	7	2	1	4	4	0	4	8	
4999994	6	5	5	1	1	3	3	1	1	6	
4999994	6	6	6	1	1	4	4	0	4	6	
4999999	1	1	1	1	1	0	0	0	0	1	
4999993	7	6	6	1	1	5	5	0	5	7	
4999986	14	13	13	1	1	10	10	0	9	14	
4999968	32	27	27	5	2	18	18	1	19	32	
4999992	8	6	6	1	0	2	2	0	2	8	
4999995	5	5	5	1	1	2	2	0	2	5	
4997843	2157	1249	1249	109	35	655	655	7	382	2157	
4999989	11	8	8	2	0	6	6	0	4	11	
4999992	8	7	7	1	1	6	6	0	5	8	
4999994	6	6	6	1	1	4	4	0	4	6	
4999955	45	26	26	5	1	12	12	1	14	45	
4999909	91	49	49	6	2	24	24	0	13	91	
4999991	9	7	7	0	0	6	6	0	6	9	
4999985	15	10	10	1	0	2	2	0	0	15	
4999987	13	12	12	2	1	10	10	0	11	13	
4999977	23	23	23	4	2	19	19	2	20	23	
4999994	6	6	6	1	1	3	3	1	3	6	
4999995	5	5	5	1	1	4	4	1	3	5	
4999991	9	7	7	1	0	5	5	0	5	9	
4999996	4	4	4	1	1	3	3	1	1	4	
4999988	12	7	7	1	1	6	6	1	5	12	
4999998	2	1	1	0	0	0	0	0	0	2	
4999998	2	2	2	0	0	1	1	0	0	2	
