S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
9999993	7	5	5	0	0	2	2	0	2	7	
9999993	7	4	4	0	0	2	2	0	1	7	
9999982	18	16	16	2	1	13	13	1	13	18	
9999987	13	12	12	0	0	12	12	0	11	13	
9999999	1	1	1	1	0	0	0	0	0	1	
9999994	6	2	2	0	0	2	2	0	2	6	
10000000	0	0	0	0	0	0	0	0	0	0	
10000000	0	0	0	0	0	0	0	0	0	0	
9999996	4	3	3	1	1	1	1	0	1	4	
9999991	9	9	9	1	1	5	5	0	5	9	
9999999	1	1	1	0	0	0	0	0	0	1	
9999995	5	5	5	2	1	3	3	0	3	5	
9999997	3	2	2	0	0	1	1	0	1	3	
9999998	2	2	2	1	1	0	0	0	0	2	
9999996	4	3	3	0	0	1	1	0	0	4	
9999972	28	22	22	3	3	14	14	2	12	28	
9999990	10	9	9	1	1	8	8	1	9	10	
9999981	19	15	15	3	1	11	11	0	10	19	
9999995	5	3	3	1	1	1	1	0	1	5	
9999976	24	24	24	4	2	19	19	1	20	24	
9999988	12	9	9	4	3	4	4	2	5	12	
9999988	12	11	11	2	2	8	8	1	6	12	
9999985	15	13	13	4	1	8	8	0	10	15	
9999998	2	1	1	1	0	0	0	0	0	2	
9999999	1	1	1	1	1	0	0	0	0	1	
9999993	7	5	5	1	1	3	3	0	2	7	
9999991	9	8	8	0	0	7	7	0	5	9	
9999985	15	14	14	0	0	10	10	0	5	15	
10000000	0	0	0	0	0	0	0	0	0	0	
9999991	9	8	8	2	2	6	6	1	5	9	
9999987	13	12	12	2	2	8	8	0	8	13	
9999998	2	1	1	1	1	0	0	1	0	2	
9999994	6	6	6	1	1	3	3	0	3	6	
9999992	8	6	6	3	2	3	3	2	5	8	
9999993	7	6	6	1	0	3	3	0	2	7	
9999996	4	3	3	0	0	1	1	0	1	4	
9999997	3	2	2	2	1	0	0	0	0	3	
9999992	8	8	8	0	0	6	6	0	5	8	
9999977	23	21	21	3	1	15	15	1	13	23	
9999993	7	6	6	1	1	4	4	1	2	7	
9999998	2	2	2	2	2	0	0	0	0	2	
9999996	4	3	3	1	1	2	2	1	2	4	
9999981	19	15	15	1	1	11	11	0	9	19	
9999996	4	2	2	1	1	1	1	0	0	4	
9999986	14	13	13	2	2	11	11	2	11	14	
9999979	21	18	18	3	2	13	13	1	11	21	
9999993	7	5	5	2	2	2	2	2	2	7	
9999986	14	12	12	1	1	11	11	0	11	14	
9999996	4	4	4	1	1	3	3	0	3	4	
9999990	10	10	10	3	3	5	5	1	4	10	
9999996	4	4	4	1	1	2	2	1	1	4	
9999973	27	27	27	3	2	22	22	2	23	27	
9999996	4	4	4	3	0	1	1	0	1	4	
9999987	13	9	9	3	1	4	4	1	4	13	
9999994	6	6	6	1	1	3	3	1	3	6	
9999980	20	15	15	0	0	13	13	0	10	20	
9999997	3	2	2	1	1	1	1	0	1	3	
9999998	2	1	1	1	1	0	0	0	0	2	
9999990	10	8	8	1	1	7	7	0	6	10	
9999992	8	6	6	2	0	1	1	0	1	8	
9999998	2	1	1	1	1	0	0	0	0	2	
9999986	14	11	11	4	3	4	4	2	4	14	
9999995	5	4	4	2	2	2	2	0	2	5	
9999952	48	44	44	10	5	32	32	4	33	48	
9999980	20	13	13	1	1	9	9	0	4	20	
9999989	11	11	11	3	2	6	6	1	6	11	
9999963	37	34	34	4	2	30	30	2	30	37	
9999921	79	74	74	14	6	60	60	6	69	79	
9999996	4	3	3	1	1	2	2	0	2	4	
9999973	27	25	25	4	3	20	20	3	18	27	
9999993	7	5	5	3	0	1	1	0	2	7	
9999994	6	5	5	1	1	3	3	0	3	6	
9999993	7	7	7	3	2	4	4	1	4	7	
9999965	35	22	22	4	1	12	12	0	6	35	
9999999	1	1	1	0	0	0	0	0	0	1	
10000000	0	0	0	0	0	0	0	0	0	0	
9999973	27	27	27	3	2	22	22	1	23	27	
10000000	0	0	0	0	0	0	0	0	0	0	
9999985	15	11	11	3	1	7	7	1	6	15	
9999967	33	30	30	7	2	23	23	0	25	33	
9999996	4	3	3	1	0	1	1	0	1	4	
9999997	3	3	3	1	1	2	2	1	1	3	
9999989	11	6	6	1	0	3	3	0	1	11	
9999986	14	14	14	3	0	10	10	0	11	14	
9999974	26	22	22	4	1	18	18	1	19	26	
9999991	9	7	7	1	0	1	1	0	1	9	
9999976	24	8	8	1	1	3	3	1	2	24	
10000000	0	0	0	0	0	0	0	0	0	0	
9999995	5	4	4	1	0	2	2	0	3	5	
9999996	4	2	2	0	0	1	1	0	1	4	
9999963	37	29	29	5	4	17	17	2	14	37	
9999995	5	4	4	1	0	1	1	0	1	5	
9999990	10	10	10	1	1	9	9	1	5	10	
9999994	6	5	5	1	1	3	3	0	1	6	
9999995	5	2	2	0	0	1	1	0	1	5	
9999992	8	5	5	1	1	3	3	0	3	8	
9999981	19	16	16	3	3	12	12	2	11	19	
9999997	3	2	2	1	1	0	0	0	0	3	
9999965	35	26	26	7	1	16	16	1	20	35	
9999946	54	37	37	4	1	28	28	1	23	54	
9999996	4	4	4	2	1	0	0	0	1	4	
9999990	10	9	9	2	2	6	6	0	4	10	
9999999	1	1	1	1	1	0	0	0	0	1	
9999976	24	20	20	2	2	16	16	2	16	24	
9999993	7	6	6	2	1	3	3	0	3	7	
9999986	14	13	13	2	2	7	7	1	8	14	
9999998	2	1	1	0	0	0	0	0	0	2	
9999995	5	3	3	1	0	2	2	0	1	5	
9999993	7	6	6	2	1	4	4	1	4	7	
9999943	57	56	56	11	5	45	45	5	53	57	
9999969	31	28	28	7	4	17	17	2	18	31	
9999971	29	24	24	6	5	16	16	3	16	29	
9999989	11	8	8	0	0	6	6	0	1	11	
9999982	18	17	17	1	0	15	15	0	15	18	
9999986	14	11	11	2	1	8	8	1	9	14	
9999991	9	9	9	1	1	8	8	0	7	9	
10000000	0	0	0	0	0	0	0	0	0	0	
9999992	8	5	5	2	1	2	2	1	2	8	
9999993	7	5	5	2	2	3	3	0	3	7	
9999996	4	3	3	0	0	1	1	0	1	4	
9999997	3	2	2	0	0	1	1	0	0	3	
9999995	5	4	4	1	1	1	1	0	0	5	
9999990	10	7	7	3	2	4	4	1	4	10	
9999980	20	19	19	3	1	14	14	1	16	20	
9999982	18	16	16	4	1	11	11	1	12	18	
9999985	15	15	15	3	2	11	11	1	11	15	
9999991	9	2	2	0	0	1	1	0	1	9	
9999997	3	2	2	2	1	0	0	1	0	3	
9999981	19	12	12	0	0	9	9	0	4	19	
9999990	10	10	10	2	1	7	7	1	9	10	
9999994	6	4	4	1	0	3	3	0	3	6	
9999931	69	64	64	12	7	49	49	6	50	69	
9999967	33	27	27	5	3	15	15	2	13	33	
9999995	5	2	2	0	0	2	2	0	0	5	
9999996	4	3	3	2	1	0	0	0	0	4	
9999973	27	22	22	1	1	16	16	0	15	27	
9999990	10	9	9	3	1	5	5	0	5	10	
9999969	31	28	28	2	2	24	24	1	22	31	
